Transcription Units from All genes of E. coli K-12 substr. MG1655	Matches	Sequence - coordinates of DNA region	Sequence - length of region	Direction
gltA	gltA	[gltA 753,185 &larr; 754,468]	1284	-
gltBDF	gltF // gltD // gltB	[gltBDF 3,354,725 &rarr; 3,361,940]	7216	+
gltF	gltF	[gltF 3,361,176 &rarr; 3,361,940]	765	+
gltI-sroC-gltJKL	sroC // gltL // gltK // gltJ // gltI	[gltI-sroC-gltJKL 684,530 &larr; 687,747]	3218	-
gltIJKL-sroC	sroC // gltL // gltK // gltJ // gltI	[gltIJKL-sroC 684,530 &larr; 687,747]	3218	-
gltP	gltP	[TU0-14126 4,294,481 &rarr; 4,295,794]	1314	+
gltS	gltS	[gltS 3,827,460 &larr; 3,828,665]	1206	-
gltX	gltX	[gltX 2,519,257 &larr; 2,520,672]	1416	-
gltX	gltX	[gltX 2,519,257 &larr; 2,520,672]	1416	-
gltX	gltX	[gltX 2,519,257 &larr; 2,520,672]	1416	-
glvC // glvB // glvG // ysdC	glvG // ysdC // glvB // glvC	[TU0-14016 3,861,173 &larr; 3,863,603]	2431	-
glxK	glxK	[glxK 541,888 &rarr; 543,033]	1146	+
glyA	glyA	[glyA 2,684,254 &larr; 2,685,507]	1254	-
glyQS	glyS // glyQ	[glyQS 3,722,328 &larr; 3,725,318]	2991	-
glyU	glyU	[glyU 2,998,984 &larr; 2,999,057]	74	-
glyU	glyU	[TU0-13770 2,998,984 &larr; 2,999,057]	74	-
glyVXY	glyV // glyY // glyX	[glyVXY 4,392,360 &rarr; 4,392,658]	299	+
glyW-cysT-leuZ	glyW // cysT // leuZ // 3'ETS<sup><i>leuZ</i></sup>	[glyW-cysT-leuZ 1,991,748 &larr; 1,992,117]	370	-
gmhA	gmhA	[TU0-12846 243,543 &rarr; 244,121]	579	+
gmhB	gmhB	[gmhB 222,833 &rarr; 223,408]	576	+
gmk	gmk	[gmk 3,821,428 &rarr; 3,822,051]	624	+
gnd	gnd	[gnd 2,099,862 &larr; 2,101,268]	1407	-
gnsA	gnsA	[gnsA 1,052,067 &rarr; 1,052,240]	174	+
gnsA	gnsA	[gnsA 1,052,067 &rarr; 1,052,240]	174	+
gnsB	gnsB	[gnsB 1,637,609 &larr; 1,637,782]	174	-
gntK	gntK	[gntK 3,577,065 &larr; 3,577,592]	528	-
gntKU	gntK // gntU	[gntKU 3,575,721 &larr; 3,577,592]	1872	-
gntP	gntP	[gntP 4,549,953 &larr; 4,551,296]	1344	-
gntR	gntR	[gntR 3,577,731 &larr; 3,578,726]	996	-
gntR	gntR	[gntR 3,577,731 &larr; 3,578,726]	996	-
gntR	gntR	[gntR 3,577,731 &larr; 3,578,726]	996	-
gntRKU	gntK // gntR // gntU	[gntRKU 3,575,721 &larr; 3,578,726]	3006	-
gntT	gntT	[gntT 3,546,559 &rarr; 3,547,875]	1317	+
gntT	gntT	[gntT 3,546,559 &rarr; 3,547,875]	1317	+
gntT	gntT	[gntT 3,546,559 &rarr; 3,547,875]	1317	+
gntU terminator // gntU	gntU	[TU0-42252 3,575,721 &larr; 3,577,061]	1341	-
gntXY	nfuA // yhgH	[gntXY 3,544,882 &rarr; 3,546,199]	1318	+
gor	gor	[TU0-13959 3,646,299 &rarr; 3,647,651]	1353	+
gor	gor	[gor 3,646,299 &rarr; 3,647,651]	1353	+
gpmA	gpmA	[gpmA 786,843 &larr; 787,595]	753	-
gpmA	gpmA	[gpmA 786,843 &larr; 787,595]	753	-
gpmM-envC-yibQ	gpmM // envC // yibQ	[gpmM-envC-yibQ 3,785,260 &rarr; 3,789,060]	3801	+
gpmM-envC-yibQ	gpmM // envC // yibQ	[gpmM-envC-yibQ 3,785,260 &rarr; 3,789,060]	3801	+
gpp	gpp	[TU0-14036 3,962,745 &larr; 3,964,229]	1485	-
gpt	gpt	[gpt 255,977 &rarr; 256,435]	459	+
grcA	grcA	[grcA 2,716,066 &larr; 2,716,449]	384	-
grcA	grcA	[grcA 2,716,066 &larr; 2,716,449]	384	-
greA	greA	[greA 3,328,239 &larr; 3,328,715]	477	-
greA	greA	[greA 3,328,239 &larr; 3,328,715]	477	-
greB	greB	[TU0-13931 3,536,812 &rarr; 3,537,288]	477	+
groL	groL	[groL 4,371,025 &rarr; 4,372,671]	1647	+
groL	groL	[groL 4,371,025 &rarr; 4,372,671]	1647	+
groL	groL	[groL 4,371,025 &rarr; 4,372,671]	1647	+
groSL	groL // groS	[groSL 4,370,688 &rarr; 4,372,671]	1984	+
grpE	grpE	[grpE 2,750,115 &larr; 2,750,708]	594	-
grxA	grxA	[grxA 890,496 &larr; 890,753]	258	-
grxB	grxB	[grxB 1,123,407 &larr; 1,124,054]	648	-
grxC	grxC	[TU0-13996 3,784,191 &larr; 3,784,442]	252	-
grxD	grxD	[grxD 1,733,754 &larr; 1,734,101]	348	-
gshA	gshA	[TU0-13714 2,814,883 &larr; 2,816,439]	1557	-
gsk	gsk	[gsk 500,125 &rarr; 501,429]	1305	+
gspAB	gspB // gspA	[gspAB 3,453,508 &larr; 3,455,398]	1891	-
gspAB	gspB // gspA	[gspAB 3,453,508 &larr; 3,455,398]	1891	-
gspAB	gspB // gspA	[gspAB 3,453,508 &larr; 3,455,398]	1891	-
gspAB	gspB // gspA	[gspAB 3,453,508 &larr; 3,455,398]	1891	-
gspCDEFGHIJKLMO	gspO // gspC // gspF // gspI // gspL // gspE // gspH // gspK // gspM // gspD // gspG // gspJ	[gspCDEFGHIJKLMO 3,455,578 &rarr; 3,466,220]	10643	+
gspCDEFGHIJKLMO	gspO // gspC // gspF // gspI // gspL // gspE // gspH // gspK // gspM // gspD // gspG // gspJ	[gspCDEFGHIJKLMO 3,455,578 &rarr; 3,466,220]	10643	+
gspCDEFGHIJKLMO	gspO // gspC // gspF // gspI // gspL // gspE // gspH // gspK // gspM // gspD // gspG // gspJ	[gspCDEFGHIJKLMO 3,455,578 &rarr; 3,466,220]	10643	+
gss	gss	[gss 3,136,663 &larr; 3,138,522]	1860	-
gstA	gstA	[gstA 1,714,377 &rarr; 1,714,982]	606	+
gstB	gstB	[gstB 879,854 &larr; 880,480]	627	-
guaBA	guaB // guaA	[guaBA 2,630,958 &larr; 2,634,070]	3113	-
guaC	guaC	[guaC 113,444 &rarr; 114,487]	1044	+
gudPXD	gudP // gudX // gudD	[gudPXD 2,918,045 &larr; 2,922,100]	4056	-
gyrA	gyrA	[gyrA 2,336,793 &larr; 2,339,420]	2628	-
gyrB	gyrB	[gyrB 3,877,705 &larr; 3,880,119]	2415	-
hcaEFCBD	hcaD // hcaE // hcaB // hcaC // hcaF	[hcaEFCBD 2,669,032 &rarr; 2,673,249]	4218	+
hcaR	hcaR	[hcaR 2,668,006 &larr; 2,668,896]	891	-
hcaT	hcaT	[TU0-13660 2,666,707 &larr; 2,667,846]	1140	-
hchA	hchA	[hchA 2,035,835 &rarr; 2,036,686]	852	+
hchA	hchA	[hchA 2,035,835 &rarr; 2,036,686]	852	+
hcp-hcr	hcp // hcr	[hcp-hcr 911,182 &larr; 913,814]	2633	-
hcp-hcr	hcp // hcr	[hcp-hcr 911,182 &larr; 913,814]	2633	-
hcp-hcr-poxB	hcp // poxB // hcr	[hcp-hcr-poxB 909,331 &larr; 913,814]	4484	-
hcxB	hcxB	[TU0-13051 836,351 &rarr; 837,436]	1086	+
hda	hda	[hda 2,618,075 &larr; 2,618,776]	702	-
hdeAB-yhiD	hdeA // hdeB // yhiD	[hdeAB-yhiD 3,655,255 &larr; 3,656,740]	1486	-
hdeD	hdeD	[hdeD 3,656,995 &rarr; 3,657,567]	573	+
hdfR	hdfR	[hdfR 3,947,128 &larr; 3,947,967]	840	-
hdhA	hdhA	[hdhA 1,697,273 &larr; 1,698,040]	768	-
helD	helD	[helD 1,024,471 &rarr; 1,026,525]	2055	+
hemA	hemA	[hemA 1,263,714 &rarr; 1,264,970]	1257	+
hemA-prfA-prmC	prfA // prmC // hemA	[hemA-prfA-prmC 1,263,714 &rarr; 1,266,927]	3214	+
hemB	hemB	[hemB 388,753 &larr; 389,727]	975	-
hemCDXY	hemX // hemD // hemC // hemY	[hemCDXY 3,986,686 &larr; 3,990,766]	4081	-
hemF	hemF	[hemF 2,553,225 &rarr; 2,554,124]	900	+
hemH	hemH	[hemH 498,055 &rarr; 499,017]	963	+
hemL	hemL	[hemL 173,602 &larr; 174,882]	1281	-
hemL	hemL	[hemL 173,602 &larr; 174,882]	1281	-
hemL	hemL	[hemL 173,602 &larr; 174,882]	1281	-
hemN	hemN	[hemN 4,052,045 &rarr; 4,053,418]	1374	+
hepA	rapA	[hepA 60,358 &larr; 63,264]	2907	-
hflD-purB	purB // hflD	[hflD-purB 1,190,616 &larr; 1,192,631]	2016	-
hfq-hflXKC	hfq // hflX // hflC // hflK	[hfq-hflXKC 4,400,288 &rarr; 4,404,304]	4017	+
hfq-hflXKC	hfq // hflX // hflC // hflK	[hfq-hflXKC 4,400,288 &rarr; 4,404,304]	4017	+
hfq-hflXKC	hfq // hflX // hflC // hflK	[hfq-hflXKC 4,400,288 &rarr; 4,404,304]	4017	+
hicAB	hicA // hicB	[hicAB 1,509,286 &rarr; 1,509,924]	639	+
hicAB	hicA // hicB	[hicAB 1,509,286 &rarr; 1,509,924]	639	+
higBA	higA // higB	[higBA 3,233,728 &larr; 3,234,455]	728	-
ycfP // nagZ // thiK // lpoB // ycfL // hinT	nagZ // ycfL // thiK // lpoB // ycfP // hinT	[TU0-13136 1,161,885 &rarr; 1,165,685]	3801	+
hipBA	hipB // hipA	[hipBA 1,590,854 &larr; 1,592,442]	1589	-
hisBHAFI	hisB // hisF // hisI // hisA // hisH	[hisBHAFI 2,093,468 &rarr; 2,097,225]	3758	+
hisJQMP	hisP // hisQ // hisM // hisJ	[hisJQMP 2,423,736 &larr; 2,426,788]	3053	-
hisL	hisL	[hisL 2,089,996 &rarr; 2,090,046]	51	+
hisLGDCBHAFI	hisB // hisF // hisI // hisA // hisD // hisH // hisL // hisC // hisG	[hisLGDCBHAFI 2,089,996 &rarr; 2,097,225]	7230	+
hisS	hisS	[hisS 2,639,301 &larr; 2,640,575]	1275	-
hiuH	hiuH	[hiuH 2,038,956 &rarr; 2,039,369]	414	+
hldE	hldE	[TU0-13846 3,195,320 &larr; 3,196,753]	1434	-
hlpA-lpxD-fabZ-lpxA	skp // fabZ // lpxD // lpxA	[hlpA-lpxD-fabZ-lpxA 200,482 &rarr; 203,348]	2867	+
hlyE	hlyE	[hlyE 1,229,483 &larr; 1,230,394]	912	-
hmp	hmp	[hmp 2,685,835 &rarr; 2,687,025]	1191	+
hns	hns	[hns 1,292,509 &larr; 1,292,922]	414	-
hofMNOP	hofN // hofO // hofP // hofM	[hofMNOP 3,520,615 &larr; 3,522,751]	2137	-
hofQ	hofQ	[TU0-13926 3,519,465 &larr; 3,520,703]	1239	-
hokA	hokA	[hokA 3,720,448 &larr; 3,720,600]	153	-
hokB	hokB	[TU0-13255 1,491,922 &larr; 1,492,071]	150	-
hokD	hokD	[TU0-13324 1,645,119 &larr; 1,645,274]	156	-
hokE	hokE	[hokE 607,836 &rarr; 607,988]	153	+
holC	holC	[holC 4,483,837 &larr; 4,484,280]	444	-
holC-valS	holC // valS	[holC-valS 4,480,982 &larr; 4,484,280]	3299	-
holD-rimI-yjjG	yjjG // holD // rimI	[holD-rimI-yjjG 4,607,803 &rarr; 4,609,323]	1521	+
holE	holE	[TU0-13433 1,925,108 &rarr; 1,925,338]	231	+
hprR // hprS	hprR // hprS	[TU0-13467 2,036,794 &larr; 2,038,823]	2030	-
hpt	hpt	[hpt 141,431 &rarr; 141,967]	537	+
hrpA	hrpA	[TU0-13251 1,483,061 &rarr; 1,486,963]	3903	+
hrpB	hrpB	[TU0-12819 162,105 &rarr; 164,534]	2430	+
hscBA-fdx-iscX	iscX // hscA // fdx // hscB	[hscBA-fdx-iscX 2,656,536 &larr; 2,659,467]	2932	-
hscC	hscC	[TU0-13013 681,723 &larr; 683,393]	1671	-
hsdMS	hsdM // hsdS	[hsdMS 4,580,068 &larr; 4,583,048]	2981	-
hsdRMS	hsdM // hsdS // hsdR	[hsdRMS 4,580,068 &larr; 4,586,761]	6694	-
hslJ	hslJ	[hslJ 1,441,321 &larr; 1,441,743]	423	-
hslO	hslO	[TU0-13930 3,529,774 &rarr; 3,530,652]	879	+
hslR-hslO	hslO // hslR	[hslR-hslO 3,529,348 &rarr; 3,530,652]	1305	+
hslVU	hslU // hslV	[hslVU 4,120,416 &larr; 4,122,287]	1872	-
hspQ	hspQ	[hspQ 1,028,404 &larr; 1,028,721]	318	-
htgA	mbiA	[htgA 10,830 &rarr; 11,315]	486	+
htgA	mbiA	[htgA 10,830 &rarr; 11,315]	486	+
htpG	htpG	[htpG 495,120 &rarr; 496,994]	1875	+
htpG	htpG	[htpG 495,120 &rarr; 496,994]	1875	+
htpG	htpG	[htpG 495,120 &rarr; 496,994]	1875	+
htpX	htpX	[htpX 1,911,695 &larr; 1,912,576]	882	-
htrG	ygiM	[htrG 3,201,207 &rarr; 3,201,827]	621	+
htrG-cca	cca // ygiM	[htrG-cca 3,201,207 &rarr; 3,203,129]	1923	+
htrL	htrL	[TU0-14000 3,792,826 &larr; 3,793,683]	858	-
hupA	hupA	[hupA 4,200,281 &rarr; 4,200,553]	273	+
hupB	hupB	[hupB 461,451 &rarr; 461,723]	273	+
hupB	hupB	[hupB 461,451 &rarr; 461,723]	273	+
hupB	hupB	[hupB 461,451 &rarr; 461,723]	273	+
hupB	hupB	[hupB 461,451 &rarr; 461,723]	273	+
hxpB	hxpB	[hxpB 1,809,380 &rarr; 1,810,048]	669	+
hyaABCDEF	hyaC // hyaF // hyaB // hyaE // hyaA // hyaD	[hyaABCDEF 1,032,139 &rarr; 1,037,606]	5468	+
hybOABCDEFG	hybE // hybD // hybC // hybG // hybO // hybB // hybF // hybA	[hybOABCDEFG 3,139,716 &larr; 3,146,261]	6546	-
hycABCDEFGHI	hycI // hycG // hycC // hycF // hycB // hycE // hycH // hycA // hycD	[hycABCDEFGHI 2,842,573 &larr; 2,850,435]	7863	-
hydN-hypF	hydN // hypF	[hydN-hypF 2,835,173 &larr; 2,838,105]	2933	-
hyfABCDEFGHIJR-focB	focB // hyfC // hyfF // hyfI // hyfE // hyfB // hyfH // hyfA // hyfD // hyfG // hyfR // hyfJ	[hyfABCDEFGHIJR-focB 2,601,201 &rarr; 2,614,782]	13582	+
hypABCDE	hypB // hypA // hypE // hypD // hypC	[hypABCDE 2,850,647 &rarr; 2,854,264]	3618	+
hypABCDE-fhlA	fhlA // hypB // hypA // hypE // hypD // hypC	[hypABCDE-fhlA 2,850,647 &rarr; 2,856,416]	5770	+
hypBCDE	hypB // hypE // hypD // hypC	[hypBCDE 2,851,001 &rarr; 2,854,264]	3264	+
hypBCDE-fhlA	fhlA // hypB // hypE // hypD // hypC	[hypBCDE-fhlA 2,851,001 &rarr; 2,856,416]	5416	+
hypF	hypF	[hypF 2,835,173 &larr; 2,837,425]	2253	-
hypF	hypF	[hypF 2,835,173 &larr; 2,837,425]	2253	-
hypF	hypF	[hypF 2,835,173 &larr; 2,837,425]	2253	-
hypT	hypT	[TU0-14198 4,557,378 &larr; 4,558,289]	912	-
hyuA	hyuA	[TU0-13776 3,010,028 &rarr; 3,011,413]	1386	+
iaaA-gsiABCD	iaaA // gsiA // gsiD // gsiB // gsiC	[iaaA-gsiABCD 866,568 &rarr; 872,801]	6234	+
iap	iap	[iap 2,876,581 &rarr; 2,877,618]	1038	+
ibaG	ibaG	[ibaG 3,336,549 &larr; 3,336,803]	255	-
ibaG-murA	murA // ibaG	[ibaG-murA 3,335,235 &larr; 3,336,803]	1569	-
ibpAB	ibpA // ibpB	[ibpAB 3,866,469 &larr; 3,867,422]	954	-
ibpB	ibpB	[ibpB 3,866,469 &larr; 3,866,897]	429	-
icd	icd	[icd 1,195,123 &rarr; 1,196,373]	1251	+
icd	icd	[icd 1,195,123 &rarr; 1,196,373]	1251	+
icdC	icdC	[TU0-13155 1,211,413 &rarr; 1,211,577]	165	+
iclR	iclR	[iclR 4,222,804 &larr; 4,223,628]	825	-
idi	idi	[TU0-13786 3,033,065 &rarr; 3,033,613]	549	+
idnDOTR	idnO // idnR // idnD // idnT	[idnDOTR 4,490,141 &larr; 4,494,406]	4266	-
idnK	idnK	[idnK 4,494,623 &rarr; 4,495,186]	564	+
idnR	idnR	[idnR 4,490,141 &larr; 4,491,139]	999	-
igaA	igaA	[TU0-13928 3,526,469 &rarr; 3,528,604]	2136	+
ihfA	ihfA	[ihfA 1,795,253 &larr; 1,795,552]	300	-
ihfB	ihfB	[ihfB 963,828 &rarr; 964,112]	285	+
ileS-lspA-fkpB-ispH	ileS // fkpB // lspA // ispH	[ileS-lspA-fkpB-ispH 22,391 &rarr; 27,227]	4837	+
ileS-lspA-fkpB-ispH	ileS // fkpB // lspA // ispH	[ileS-lspA-fkpB-ispH 22,391 &rarr; 27,227]	4837	+
ileS-lspA-fkpB-ispH	ileS // fkpB // lspA // ispH	[ileS-lspA-fkpB-ispH 22,391 &rarr; 27,227]	4837	+
ileX	ileX	[ileX 3,215,598 &rarr; 3,215,673]	76	+
ileY	ileY	[TU0-13704 2,785,762 &larr; 2,785,837]	76	-
ilvA	ilvA	[ilvA 3,955,331 &rarr; 3,956,875]	1545	+
ilvC	ilvC	[ilvC 3,957,970 &rarr; 3,959,445]	1476	+
ilvEDA	ilvE // ilvA // ilvD	[ilvEDA 3,952,484 &rarr; 3,956,875]	4392	+
ilvIH	ilvI // ilvH	[ilvIH 85,630 &rarr; 87,848]	2219	+
ilvIH	ilvI // ilvH	[ilvIH 85,630 &rarr; 87,848]	2219	+
ilvIH	ilvI // ilvH	[ilvIH 85,630 &rarr; 87,848]	2219	+
ilvIH	ilvI // ilvH	[ilvIH 85,630 &rarr; 87,848]	2219	+
ilvL	ilvL	[ilvL 3,950,322 &rarr; 3,950,420]	99	+
ilvL	ilvL	[ilvL 3,950,322 &rarr; 3,950,420]	99	+
ilvLXG_1G_2MEDA	ilvG // ilvE // ilvA // ilvL // ilvD // ilvM // ilvX	[ilvLXG_1G_2MEDA 3,950,322 &rarr; 3,956,875]	6554	+
ilvLXG_1G_2MEDA	ilvG // ilvE // ilvA // ilvL // ilvD // ilvM // ilvX	[ilvLXG_1G_2MEDA 3,950,322 &rarr; 3,956,875]	6554	+
ilvY	ilvY	[ilvY 3,956,927 &larr; 3,957,820]	894	-
imp	lptD	[imp 54,755 &larr; 57,109]	2355	-
imp	lptD	[imp 54,755 &larr; 57,109]	2355	-
imp-surA-pdxA	lptD // surA // pdxA	[imp-surA-pdxA 52,427 &larr; 57,109]	4683	-
inaA	inaA	[inaA 2,348,822 &larr; 2,349,472]	651	-
infA	infA	[infA 926,225 &larr; 926,443]	219	-
infA	infA	[infA 926,225 &larr; 926,443]	219	-
infA-serW	serW // infA	[infA-serW 925,884 &larr; 926,443]	560	-
infB	infB	[infB 3,313,342 &larr; 3,316,014]	2673	-
infC	infC	[infC 1,800,096 &larr; 1,800,638]	543	-
infC-rpmI-rplT	rplT // infC // rpmI	[infC-rpmI-rplT 1,799,393 &larr; 1,800,638]	1246	-
insA-7	insA7	[insA-7 4,518,527 &rarr; 4,518,802]	276	+
insA1 // insB1 // insAB1	insA1 // insAB1 // insB1	[TU0-12796 19,811 &larr; 20,508]	698	-
insA2 // insB2 // insAB2 // afuB // afuC	afuC // insA2 // insAB2 // insB2 // afuB	[TU0-12865 277,756 &larr; 279,875]	2120	-
insA3 // insB3 // insAB3	insB3 // insAB3 // insA3	[TU0-12870 290,649 &larr; 291,346]	698	-
insB4 // insA4 // insAB4	insAB4 // insB4 // insA4	[TU0-13109 1,049,833 &rarr; 1,050,530]	698	+
insA5B5AB5	insA5 // insAB5 // insB5	[insA5B5AB5 1,978,518 &larr; 1,979,215]	698	-
insB7	insB7	[TU0-14189 4,518,721 &rarr; 4,519,224]	504	+
insD1 // insC1 // insCD1	insC1 // insCD1 // insD1	[TU0-12904 381,351 &rarr; 382,579]	1229	+
insC2 // insD2 // insCD2	insC2 // insCD2 // insD2	[TU0-13245 1,467,921 &larr; 1,469,149]	1229	-
insC3 // insD3 // insCD3	insC3 // insD3 // insCD3	[TU0-13480 2,068,952 &larr; 2,070,180]	1229	-
insC4 // insD4 // insCD4 // ygeO // ygeN	insC4 // insD4 // insCD4 // ygeN // ygeO	[TU0-13767 2,995,314 &larr; 2,997,600]	2287	-
insC5CD5D5-yqiHIG	yqiH // insD5 // insCD5 // insC5 // yqiG // yqiI			+
insD6 // insC6 // insCD6	insCD6 // insD6 // insC6	[TU0-14179 4,498,272 &rarr; 4,499,500]	1229	+
insE2 // insF2 // insEF2	insE2 // insEF2 // insF2	[TU0-12910 391,739 &larr; 392,901]	1163	-
insF3 // insE3 // insEF3	insEF3 // insF3 // insE3	[TU0-12971 566,842 &rarr; 568,004]	1163	+
insE4 // insF4 // insEF4	insE4 // insEF4 // insF4	[TU0-13117 1,094,275 &larr; 1,095,437]	1163	-
insF5 // insE5 // insEF5	insF5 // insE5 // insEF5	[TU0-13507 2,170,236 &rarr; 2,171,398]	1163	+
insG	insG	[insG 4,502,103 &larr; 4,503,431]	1329	-
insH-1	insH1	[insH-1 274,101 &larr; 275,081]	981	-
insH-10	insH10	[insH-10 3,365,702 &larr; 3,366,682]	981	-
insH-11	insH11	[insH-11 3,652,182 &larr; 3,653,162]	981	-
insH-2	insH2	[insH-2 574,737 &larr; 575,717]	981	-
insH-5	insH5	[insH-5 1,427,746 &larr; 1,428,726]	981	-
insH-7	insH7	[insH-7 2,101,895 &larr; 2,102,875]	981	-
insH-8	insH8	[insH-8 2,289,065 &larr; 2,290,045]	981	-
insH-9	insH9	[insH-9 3,130,214 &rarr; 3,131,194]	981	+
insH3	insH3	[TU0-13015 687,997 &larr; 688,977]	981	-
insH4	insH4	[TU0-13219 1,396,112 &rarr; 1,397,092]	981	+
insH6	insH6	[TU0-13479 2,066,305 &larr; 2,067,285]	981	-
insI2	insI2	[TU0-13246 1,469,358 &rarr; 1,470,509]	1152	+
insJ	insJ	[insJ 3,720,680 &rarr; 3,721,201]	522	+
insK	insK	[insK 3,721,198 &rarr; 3,722,049]	852	+
insL1	insL1	[TU0-12793 15,445 &rarr; 16,557]	1113	+
insL2	insL2	[TU0-12990 608,065 &rarr; 609,177]	1113	+
insL3	insL3	[TU0-13617 2,514,331 &rarr; 2,515,443]	1113	+
insM // insI3	insI3 // insM	[TU0-14186 4,507,466 &larr; 4,508,942]	1477	-
insN-2	insO	[insN-2 NIL &rarr; NIL]		+
insN-1p // insO1 // insI1 // insN	insI1 // insN			+
insQ	insQ	[TU0-14243 1,503,717 &rarr; 1,504,865]	1149	+
insZ	insZ	[TU0-13184 1,294,426 &larr; 1,295,322]	897	-
intA	intA	[TU0-13688 2,756,159 &rarr; 2,757,400]	1242	+
intB	intB	[TU0-14178 4,496,750 &rarr; 4,497,940]	1191	+
intD	intD	[intD 564,815 &larr; 565,978]	1164	-
intF	intF	[TU0-12874 295,696 &larr; 297,096]	1401	-
intG	intG	[intG 2,012,502 &rarr; 2,012,780]	279	+
intS	intS	[intS 2,466,545 &rarr; 2,467,702]	1158	+
intZ	intZ	[TU0-13628 2,558,858 &rarr; 2,560,066]	1209	+
iprA	iprA	[TU0-12912 394,506 &rarr; 395,129]	624	+
iraD	idlP // iraD	[iraD 4,556,913 &rarr; 4,557,385]	473	+
iraD	ytiC // idlP // iraD // ytiD	[iraD 4,556,574 &rarr; 4,557,385]	812	+
iraM	iraM	[iraM 1,211,680 &larr; 1,212,003]	324	-
iraM	iraM	[iraM 1,211,680 &larr; 1,212,003]	324	-
iraP	iraP	[iraP 401,386 &rarr; 401,646]	261	+
iraP	iraP	[iraP 401,386 &rarr; 401,646]	261	+
IS128	IS128	[TU0-13653 2,653,515 &rarr; 2,653,723]	209	+
iscRSUA	iscU // iscR // iscS // iscA	[iscRSUA 2,659,563 &larr; 2,662,131]	2569	-
ispB	ispB	[TU0-13885 3,333,710 &rarr; 3,334,681]	972	+
ispDF	ispF // ispD	[ispDF 2,871,301 &larr; 2,872,490]	1190	-
ispG-sroE	sroE // ispG	[ispG-sroE 2,640,595 &larr; 2,641,804]	1210	-
isrB	isrB	[TU0-13448 1,987,839 &larr; 1,987,998]	160	-
isrC	isrC	[isrC 2,071,317 &rarr; 2,071,511]	195	+
istR-1	istR	[istR-1 3,853,118 &larr; 3,853,257]	140	-
istR-2	istR	[istR-2 3,853,118 &larr; 3,853,257]	140	-
ivbL	ivbL	[ivbL 3,852,890 &larr; 3,852,988]	99	-
ivbL-ilvBN	ilvN // ilvB // ivbL	[ivbL-ilvBN 3,850,802 &larr; 3,852,988]	2187	-
ivbL-ilvBN-uhpABC	uhpB // uhpA // uhpC // ilvN // ilvB // ivbL	[ivbL-ilvBN-uhpABC 3,847,305 &larr; 3,852,988]	5684	-
ivy	ivy	[ivy 240,343 &rarr; 240,816]	474	+
katE	katE	[katE 1,813,867 &rarr; 1,816,128]	2262	+
katG	katG	[katG 4,133,835 &rarr; 4,136,015]	2181	+
kbaZ-agaVWA	kbaZ // agaW // agaA // agaV	[kbaZ-agaVWA 3,278,914 &rarr; 3,281,625]	2712	+
kbl-tdh	tdh // kbl	[kbl-tdh 3,790,320 &larr; 3,792,551]	2232	-
kbp	kbp	[kbp 2,796,337 &larr; 2,796,786]	450	-
kch	kch	[kch 1,309,016 &larr; 1,310,269]	1254	-
kdgK	kdgK	[kdgK 3,679,419 &rarr; 3,680,348]	930	+
kdgR	kdgR	[kdgR 1,909,308 &larr; 1,910,099]	792	-
kdgT	kdgT	[TU0-14076 4,101,690 &rarr; 4,102,673]	984	+
kdpDE	kdpE // kdpD	[kdpDE 721,056 &larr; 724,414]	3359	-
kdpFABC	kdpC // kdpF // kdpB // kdpA	[kdpFABC 724,407 &larr; 728,821]	4415	-
kdsA	kdsA	[kdsA 1,268,165 &rarr; 1,269,019]	855	+
kdsC-lptCAB	kdsC // lptB // lptC // lptA	[kdsC-lptCAB 3,342,273 &rarr; 3,344,669]	2397	+
kdsC-lptCAB	kdsC // lptB // lptC // lptA	[kdsC-lptCAB 3,342,273 &rarr; 3,344,669]	2397	+
kdsC-lptCAB	kdsC // lptB // lptC // lptA	[kdsC-lptCAB 3,342,273 &rarr; 3,344,669]	2397	+
kdtA-coaD	coaD // waaA	[kdtA-coaD 3,808,540 &rarr; 3,810,304]	1765	+
kduD	kduD	[TU0-13755 2,982,497 &larr; 2,983,258]	762	-
kduI	kduI	[TU0-13756 2,983,288 &larr; 2,984,124]	837	-
kefC // kefF	kefC // kefF	[TU0-12800 47,246 &rarr; 49,631]	2386	+
kefG // kefB // yheV	kefB // yheV // kefG	[TU0-13918 3,478,592 &larr; 3,481,161]	2570	-
kgtP	kgtP	[TU0-13674 2,724,448 &larr; 2,725,746]	1299	-
kilR // ydaE	kilR // ydaE	[TU0-13228 1,417,838 &larr; 1,418,229]	392	-
kptA	kptA	[kptA 4,560,930 &rarr; 4,561,484]	555	+
kup	kup	[kup 3,931,316 &rarr; 3,933,184]	1869	+
kup	kup	[kup 3,931,316 &rarr; 3,933,184]	1869	+
kup	kup	[kup 3,931,316 &rarr; 3,933,184]	1869	+
lacI	lacI	[lacI 366,428 &larr; 367,510]	1083	-
lacYA	lacY // lacA	[lacYA 361,249 &larr; 363,179]	1931	-
lacZYA	lacY // lacA // lacZ	[lacZYA 361,249 &larr; 366,305]	5057	-
lacZYA	lacY // lacA // lacZ	[lacZYA 361,249 &larr; 366,305]	5057	-
lacZYA	lacY // lacA // lacZ	[lacZYA 361,249 &larr; 366,305]	5057	-
lacZYA	lacY // lacA // lacZ	[lacZYA 361,249 &larr; 366,305]	5057	-
