Gene_Names	Direction	Sequence - coordinates of DNA region
nupG // mltC // yggX // mutY	+	[mutY-yggX-mltC-nupG 3,103,013 &rarr; 3,106,970]
yccE	+	[yccE 1,064,036 &rarr; 1,065,292]
atl	-	[ybaZ 475,982 &larr; 476,371]
sibA	+	[sibA 2,153,311 &rarr; 2,153,454]
alkB	-	[alkB 2,308,691 &larr; 2,309,341]
yhcG	+	[TU0-13894 3,367,827 &rarr; 3,368,954]
corA	+	[corA 4,001,426 &rarr; 4,002,376]
ftsB	-	[ftsB 2,872,509 &larr; 2,872,820]
osmY	+	[osmY 4,611,396 &rarr; 4,612,001]
der // bamB	-	[bamB-der 2,635,884 &larr; 2,638,652]
apaH // apaG // rsmA	-	[rsmA-apaGH 50,380 &larr; 52,430]
rmf	+	[TU0-13097 1,015,715 &rarr; 1,015,882]
mlaA	-	[mlaA 2,464,252 &larr; 2,465,007]
yeeX	-	[TU0-13485 2,079,032 &larr; 2,079,361]
purL	-	[purL 2,691,656 &larr; 2,695,543]
ubiV // ubiU	+	[TU0-13878 3,301,485 &rarr; 3,303,367]
rpoD	+	[rpoD 3,213,047 &rarr; 3,214,888]
alsK	-	[alsK 4,306,870 &larr; 4,307,799]
osmC	+	[osmC 1,556,625 &rarr; 1,557,056]
fabG // fabD // fabH // plsX	+	[plsX-fabHDG 1,147,621 &rarr; 1,151,404]
serS	+	[serS 939,428 &rarr; 940,720]
ryjA	-	[ryjA 4,277,927 &larr; 4,278,066]
hprR // hprS	-	[TU0-13467 2,036,794 &larr; 2,038,823]
metA	+	[metA 4,214,280 &rarr; 4,215,209]
ygjV	-	[TU0-13861 3,241,193 &larr; 3,241,744]
clpB	-	[clpB 2,731,600 &larr; 2,734,173]
mnmG // mioC // asnC	-	[asnC-mioC-mnmG 3,923,744 &larr; 3,927,003]
tsr	+	[tsr 4,591,657 &rarr; 4,593,312]
csrC	+	[csrC 4,051,036 &rarr; 4,051,280]
dgcI // pdeI	+	[TU0-13064 872,979 &rarr; 876,663]
yjfI // rlmB // rnr // nsrR	+	[nsrR-rnr-rlmB-yjfI 4,406,190 &rarr; 4,410,534]
yecA	-	[TU0-13450 1,990,954 &larr; 1,991,619]
galM // galK // galT // galE	-	[galETKM 787,797 &larr; 792,055]
yqiK // yqiJ	+	[TU0-13844 3,192,208 &rarr; 3,194,525]
htrE // yadV	-	[yadV-htrE 152,829 &larr; 156,201]
yncL	-	[TU0-14241 1,517,099 &larr; 1,517,194]
ykfI // yafW // ykfH // ykfG // yafX // ykfF // ykfB	-	[ykfBF-yafX-ykfGH-yafW-ykfI 263,328 &larr; 266,087]
fumB // dcuB	-	[dcuB-fumB 4,345,680 &larr; 4,348,744]
ybhL	+	[ybhL 819,884 &rarr; 820,588]
panD	-	[panD 146,314 &larr; 146,694]
exoX // yobB	+	[TU0-13434 1,925,440 &rarr; 1,926,782]
aroG	+	[aroG 785,633 &rarr; 786,685]
ygiQ	-	[TU0-13827 3,158,927 &larr; 3,161,146]
osmB	-	[osmB 1,343,110 &larr; 1,343,328]
slt	+	[slt 4,630,733 &rarr; 4,632,670]
glrK	-	[glrK 2,689,671 &larr; 2,691,098]
rplL	+	[rplL 4,180,560 &rarr; 4,180,925]
lysY // valZ	+	[TU0-13034 781,068 &rarr; 781,222]
pdeD	+	[TU0-13418 1,898,427 &rarr; 1,900,025]
lpxL	-	[lpxL 1,115,662 &larr; 1,116,582]
yqgA	+	[TU0-13810 3,109,553 &rarr; 3,110,260]
yoaB	+	[TU0-13415 1,893,367 &rarr; 1,893,711]
allR	+	[allR 533,011 &rarr; 533,826]
hemW // rdgB // yggU // yggT // yggS	+	[TU0-13807 3,095,098 &rarr; 3,098,403]
ttdT // ttdA // ttdB	+	[ttdABT 3,206,463 &rarr; 3,209,487]
yjiT	+	[yjiT 4,572,414 &rarr; 4,573,931]
waaZ // waaY	-	[rfaYZ 3,799,345 &larr; 3,800,965]
thyA	-	[thyA 2,964,361 &larr; 2,965,155]
bcsZ // bcsB	-	[bcsBZ 3,689,155 &larr; 3,692,607]
hscC	-	[TU0-13013 681,723 &larr; 683,393]
yeaE	-	[yeaE 1,864,782 &larr; 1,865,636]
ldrB	-	[ldrB 1,269,703 &larr; 1,269,810]
rpsU // dnaG // rpoD	+	[rpsU-dnaG-rpoD 3,210,781 &rarr; 3,214,888]
ygfF	-	[TU0-13791 3,045,158 &larr; 3,045,901]
insB7	+	[TU0-14189 4,518,721 &rarr; 4,519,224]
relA	-	[relA 2,911,417 &larr; 2,913,651]
fbp	-	[fbp 4,454,611 &larr; 4,455,609]
rna	-	[rna 644,197 &larr; 645,003]
ydiZ	+	[TU0-13381 1,807,400 &rarr; 1,807,690]
mak	+	[mak 410,144 &rarr; 411,052]
rnt // lhr	+	[rnt-lhr 1,728,347 &rarr; 1,733,703]
ygeY	+	[TU0-13775 3,008,764 &rarr; 3,009,975]
bdcR	+	[TU0-14172 4,474,124 &rarr; 4,474,717]
creD	+	[creD 4,638,178 &rarr; 4,639,530]
mepS	+	[mepS 2,269,979 &rarr; 2,270,545]
ybcV	-	[TU0-12979 579,184 &larr; 579,594]
slmA // dut	+	[dut-slmA 3,813,929 &rarr; 3,815,090]
fumD	-	[TU0-13365 1,754,932 &larr; 1,755,141]
ompX	+	[ompX 850,450 &rarr; 850,965]
yhdT // panF // prmA	+	[yhdT-panF-prmA 3,407,375 &rarr; 3,409,951]
yqeG	+	[TU0-13758 2,985,847 &rarr; 2,987,076]
bsmA	-	[bsmA 4,416,441 &larr; 4,416,770]
fre	+	[fre 4,026,527 &rarr; 4,027,228]
fabF	+	[fabF 1,151,939 &rarr; 1,153,180]
ybcF // ylbF // ylbE // fdrA	+	[TU0-12962 546,680 &rarr; 551,332]
metR	-	[metR 4,011,863 &larr; 4,012,816]
hdhA	-	[hdhA 1,697,273 &larr; 1,698,040]
envR	-	[envR 3,412,803 &larr; 3,413,465]
ygdG	+	[TU0-13740 2,931,055 &rarr; 2,931,810]
modA // modB // modC	+	[modABC 795,089 &rarr; 797,612]
ghoT // ghoS	+	[TU0-14138 4,352,584 &rarr; 4,353,081]
trpS // gph // rpe // dam	-	[dam-rpe-gph-trpS 3,512,634 &larr; 3,515,913]
talA	+	[talA 2,578,666 &rarr; 2,579,616]
tnaC	+	[tnaC 3,888,435 &rarr; 3,888,509]
maa	-	[TU0-12942 479,367 &larr; 479,918]
talB	+	[talB 8,238 &rarr; 9,191]
intQ // insD7 // ydfE // ydfD // dicB	+	[dicB-ydfDE-insD-intQ 1,649,609 &rarr; 1,652,708]
bioH	-	[bioH 3,544,074 &larr; 3,544,844]
ygbN	+	[TU0-13723 2,865,101 &rarr; 2,866,465]
yhiD // hdeB // hdeA	-	[hdeAB-yhiD 3,655,255 &larr; 3,656,740]
aphA	+	[TU0-14121 4,269,414 &rarr; 4,270,127]
hflC // hflK // hflX // hfq // miaA // mutL // amiB // tsaE // nnr	+	[yjeFE-amiB-mutL-miaA-hfq-hflXKC 4,394,066 &rarr; 4,404,304]
rne	-	[rne 1,141,182 &larr; 1,144,367]
btsT	-	[yjiY 4,589,129 &larr; 4,591,279]
panE // yajL	-	[TU0-12924 443,051 &larr; 444,515]
rpsT	-	[rpsT 20,815 &larr; 21,078]
ydfJ	-	[TU0-13314 1,631,002 &larr; 1,632,285]
gpr	+	[yghZ 3,147,897 &rarr; 3,148,937]
ileY	-	[TU0-13704 2,785,762 &larr; 2,785,837]
exbD // exbB	-	[exbBD 3,150,818 &larr; 3,151,984]
nfi // hemE // nudC	+	[TU0-14103 4,196,903 &rarr; 4,199,461]
rnpA // rpmH	+	[rpmH-rnpA 3,884,336 &rarr; 3,884,852]
cspE	+	[cspE 657,292 &rarr; 657,501]
sdiA	-	[sdiA 1,996,110 &larr; 1,996,832]
yaiX	-	[TU0-12905 NIL &larr; NIL]
ydeP	-	[ydeP 1,584,207 &larr; 1,586,486]
lsrK	-	[lsrK 1,598,617 &larr; 1,600,209]
yfeR	-	[yfeR 2,525,930 &larr; 2,526,856]
intA	+	[TU0-13688 2,756,159 &rarr; 2,757,400]
chaB // chaC	+	[chaBC 1,272,119 &rarr; 1,273,202]
yiiM	+	[TU0-14077 4,102,822 &rarr; 4,103,496]
nac	-	[nac 2,061,016 &larr; 2,061,933]
pspE // pspD // pspC // pspB	+	[pspBCDE 1,368,801 &rarr; 1,370,003]
yciT	-	[yciT 1,343,597 &larr; 1,344,346]
ykgG // ykgF // ykgE	+	[TU0-12887 321,608 &rarr; 324,453]
glk	-	[glk 2,508,461 &larr; 2,509,426]
yddE	-	[TU0-13281 1,534,965 &larr; 1,535,858]
yegD	+	[yegD 2,147,674 &rarr; 2,149,026]
yfhH	+	[TU0-13668 2,698,759 &rarr; 2,699,607]
acrA // acrB	-	[acrAB 481,254 &larr; 485,619]
bipA	+	[TU0-14061 4,058,407 &rarr; 4,060,230]
pqiC // pqiB // pqiA	+	[pqiABC 1,012,001 &rarr; 1,015,459]
rrfB // rrlB	+	[rrlB-rrfB 4,168,641 &rarr; 4,171,756]
sdiA	-	[sdiA 1,996,110 &larr; 1,996,832]
yagK	-	[yagK 292,322 &larr; 292,948]
waaA	+	[waaA 3,808,540 &rarr; 3,809,817]
rlhA	+	[TU0-13265 1,506,781 &rarr; 1,508,742]
eamA	-	[eamA 1,620,238 &larr; 1,621,137]
ndk	-	[TU0-13651 2,644,433 &larr; 2,644,864]
glpQ // glpT	-	[glpTQ 2,349,935 &larr; 2,352,374]
rarD	-	[TU0-14044 4,003,288 &larr; 4,004,178]
paaK // paaJ // paaI // paaH // paaG // paaF // paaE // paaD // paaC // paaB // paaA	+	[paaABCDEFGHIJK 1,453,927 &rarr; 1,463,438]
gcvP	-	[gcvP 3,046,168 &larr; 3,049,041]
patD // ydcT // ydcU // ydcV // ydcS	+	[ydcSTUV-patD 1,511,654 &rarr; 1,517,002]
prfH // ykfJ	+	[TU0-12855 253,467 &rarr; 254,202]
lepA // lepB	-	[lepAB 2,704,335 &larr; 2,707,124]
ydbD	+	[ydbD 1,475,144 &rarr; 1,477,450]
ycgJ	+	[ycgJ 1,226,600 &rarr; 1,226,968]
eutH // eutA	-	[TU0-13634 2,565,481 &larr; 2,568,107]
nhaR // nhaA	+	[nhaAR 17,489 &rarr; 19,620]
cbrC	+	[TU0-14027 3,898,022 &rarr; 3,898,609]
mdfA	+	[cmr 883,673 &rarr; 884,905]
rrfE // rrlE // gltV // rrsE	+	[rrsE-gltV-rrlE-rrfE 4,208,147 &rarr; 4,213,159]
dsbC	-	[dsbC 3,038,112 &larr; 3,038,822]
dkgB	+	[dkgB 229,167 &rarr; 229,970]
rnhA	-	[rnhA 235,535 &larr; 236,002]
trkG	+	[TU0-13233 1,423,782 &rarr; 1,425,239]
ybjD	+	[ybjD 916,473 &rarr; 918,131]
ypeC	+	[TU0-13616 2,511,001 &rarr; 2,511,327]
livF // livG // livM // livH // livK	-	[livKHMGF 3,592,724 &larr; 3,597,560]
yicN	-	[TU0-14011 3,841,950 &larr; 3,842,402]
arcA	-	[arcA 4,639,590 &larr; 4,640,306]
nagC	-	[nagC 700,374 &larr; 701,594]
dgkA	+	[dgkA 4,256,637 &rarr; 4,257,005]
mrcB	+	[mrcB 164,730 &rarr; 167,264]
aceF // aceE	+	[aceEF 123,017 &rarr; 127,587]
ycjY	-	[ycjY 1,390,933 &larr; 1,391,853]
yphH	+	[yphH 2,682,863 &rarr; 2,684,056]
intS	+	[intS 2,466,545 &rarr; 2,467,702]
mglC // mglA // mglB	-	[mglBAC 2,236,743 &larr; 2,240,348]
grxC	-	[TU0-13996 3,784,191 &larr; 3,784,442]
mobB // mobA	-	[mobAB 4,040,906 &larr; 4,041,999]
csgG // csgF // csgE // csgD	-	[csgDEFG 1,100,851 &larr; 1,103,196]
phoU // pstB	-	[pstB-phoU 3,906,853 &larr; 3,908,366]
sgrR // sroA // thiB // thiP // thiQ	-	[sgrR-sroA-thiBPQ 72,229 &larr; 77,299]
uvrC	-	[uvrC 1,992,874 &larr; 1,994,706]
yciK // btuR	-	[TU0-13196 1,327,767 &larr; 1,329,112]
ymfI	+	[ymfI 1,201,497 &rarr; 1,201,838]
yfbV	-	[TU0-13583 2,412,677 &larr; 2,413,132]
fdhF	-	[fdhF 4,297,219 &larr; 4,299,366]
ghrB	+	[TU0-13980 3,717,310 &rarr; 3,718,284]
caiF	+	[caiF 34,300 &rarr; 34,695]
hypF	-	[hypF 2,835,173 &larr; 2,837,425]
prpE // prpD // prpC // prpB	+	[prpBCDE 348,682 &rarr; 354,592]
yaaX	+	[TU0-12787 5,234 &rarr; 5,530]
katE	+	[katE 1,813,867 &rarr; 1,816,128]
ymgE	+	[TU0-13176 1,244,728 &rarr; 1,244,982]
rraB	+	[yjgD 4,478,473 &rarr; 4,478,889]
yfaY	-	[yfaY 2,362,431 &larr; 2,363,633]
fucO // fucA	-	[fucAO 2,931,865 &larr; 2,933,688]
yhiS	+	[TU0-13960 NIL &rarr; NIL]
leuU	-	[leuU 3,322,072 &larr; 3,322,158]
mreD // mreC // mreB	-	[mreBCD 3,398,387 &larr; 3,401,087]
ryhB	-	[ryhB 3,580,927 &larr; 3,581,016]
rrfG // rrlG // gltW // rrsG	-	[rrsG-gltW-rrlG-rrfG 2,726,069 &larr; 2,731,157]
eno // pyrG	-	[pyrG-eno 2,906,643 &larr; 2,909,666]
ycgZ	+	[TU0-13160 1,215,789 &rarr; 1,216,025]
yidX	+	[yidX 3,875,438 &rarr; 3,876,094]
pdeN	+	[TU0-13551 2,270,726 &rarr; 2,272,282]
crp	+	[crp 3,486,120 &rarr; 3,486,752]
yhhQ	+	[TU0-13944 3,609,217 &rarr; 3,609,882]
ileX	+	[ileX 3,215,598 &rarr; 3,215,673]
mnmA	-	[mnmA 1,192,667 &larr; 1,193,773]
copA	-	[copA 508,875 &larr; 511,379]
dsbA	+	[dsbA 4,043,418 &rarr; 4,044,044]
tisB	+	[tisB 3,853,553 &rarr; 3,853,642]
ymfA // ycfZ	-	[TU0-13143 1,180,479 &larr; 1,181,725]
yhhM	-	[yhhM 3,605,251 &larr; 3,605,610]
mdtQ	-	[TU0-13532 2,227,323 &larr; 2,228,758]
sucA // sucB // sucC // sucD	+	[sucABCD 758,706 &rarr; 765,049]
hofQ	-	[TU0-13926 3,519,465 &larr; 3,520,703]
rcsA	+	[rcsA 2,023,968 &rarr; 2,024,591]
thpR	-	[ligT 161,501 &larr; 162,031]
gyrB	-	[gyrB 3,877,705 &larr; 3,880,119]
gspB // gspA	-	[gspAB 3,453,508 &larr; 3,455,398]
mltC // yggX // mutY	+	[mutY-yggX-mltC 3,103,013 &rarr; 3,105,512]
yceJ // yceI	-	[yceJI 1,117,901 &larr; 1,119,046]
ybhQ	+	[ybhQ 824,630 &rarr; 825,040]
yehD // yehC // yehB // yehA	-	[TU0-13516 2,187,380 &larr; 2,192,222]
phoE	-	[phoE 259,045 &larr; 260,100]
yhdV	+	[TU0-13907 3,418,390 &rarr; 3,418,611]
glgP // glgA // glgC	-	[glgCAP 3,564,134 &larr; 3,569,328]
yqgB	-	[yqgB 3,085,920 &larr; 3,086,051]
mhpF // mhpE // mhpD // mhpC // mhpB // mhpA	+	[mhpABCDFE 368,611 &rarr; 374,881]
yejO	-	[yejO NIL &larr; NIL]
mutM	-	[mutM 3,810,343 &larr; 3,811,152]
gnsA // ymcE	+	[TU0-13110 1,051,847 &rarr; 1,052,240]
yaiT	+	[yaiT NIL &rarr; NIL]
wcaC // wcaD // wcaE // wcaF // gmd // fcl // gmm // wcaI // cpsB // cpsG // wcaJ // wzxC	-	[wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC 2,118,680 &larr; 2,132,070]
uvrB	+	[uvrB 813,526 &rarr; 815,547]
yhcC	-	[TU0-13891 3,353,121 &larr; 3,354,050]
endA	+	[endA 3,090,347 &rarr; 3,091,054]
ygdD	-	[ygdD 2,941,236 &larr; 2,941,631]
gabP // gabT // gabD	+	[gabDTP 2,791,273 &rarr; 2,795,653]
ycaC	-	[ycaC 944,931 &larr; 945,557]
dedA // truA // usg // pdxB	-	[pdxB-usg-truA-dedA 2,434,082 &larr; 2,437,851]
elfA	+	[TU0-13094 997,868 &rarr; 998,407]
ushA	+	[ushA 504,914 &rarr; 506,566]
yeeP	+	[TU0-13482 2,070,786 &rarr; 2,071,211]
purB // hflD	-	[hflD-purB 1,190,616 &larr; 1,192,631]
yraQ	-	[TU0-13875 3,297,098 &larr; 3,298,138]
rpsU // dnaG // rpoD	+	[rpsU-dnaG-rpoD 3,210,781 &rarr; 3,214,888]
kdsD // yrbG	+	[yrbG-kdsD 3,340,275 &rarr; 3,342,252]
fxsA	+	[fxsA 4,368,664 &rarr; 4,369,140]
lon	+	[lon 458,888 &rarr; 461,242]
aat	-	[TU0-13077 926,728 &larr; 927,432]
sraG	+	[sraG 3,311,183 &rarr; 3,311,398]
yedS	+	[yedS 2,034,051 &rarr; 2,035,243]
malG // malF // malE	-	[malEFG 4,242,626 &larr; 4,246,419]
ygjR	+	[ygjR 3,237,311 &rarr; 3,238,297]
tpke11 // dnaK // dnaJ	+	[dnaKJ 12,163 &rarr; 15,298]
ihfA // pheT // pheS // pheM // rplT // rpmI // infC // thrS	-	[thrS-infC-rpmI-rplT-pheMST-ihfA 1,795,253 &larr; 1,802,570]
pykF	+	[pykF 1,755,698 &rarr; 1,757,110]
nrdG // nrdD	-	[nrdDG 4,459,900 &larr; 4,462,660]
ybiV	-	[TU0-13061 859,213 &larr; 860,028]
rfaH	-	[rfaH 4,024,333 &larr; 4,024,821]
yecJ	-	[TU0-13447 1,987,507 &larr; 1,987,758]
fnr	-	[fnr 1,398,774 &larr; 1,399,526]
ubiK	+	[TU0-13841 3,184,840 &rarr; 3,185,130]
htpG	+	[htpG 495,120 &rarr; 496,994]
setB	+	[TU0-14239 2,263,863 &rarr; 2,265,044]
ynjH	-	[ynjH 1,841,863 &larr; 1,842,135]
gntR	-	[gntR 3,577,731 &larr; 3,578,726]
ybhJ	+	[TU0-13044 803,503 &rarr; 805,764]
ydiU	-	[ydiU 1,789,808 &larr; 1,791,244]
sdsR	-	[sdsR 1,923,104 &larr; 1,923,207]
argI	-	[argI 4,477,307 &larr; 4,478,311]
dkgA	+	[TU0-13824 3,156,623 &rarr; 3,157,450]
ackA	+	[ackA 2,413,470 &rarr; 2,414,672]
yjjJ	+	[TU0-14222 4,621,769 &rarr; 4,623,100]
rraB	+	[rraB 4,478,473 &rarr; 4,478,889]
yaiS	-	[yaiS 384,059 &larr; 384,616]
pxpA // nei // pxpC // pxpB // ybgI	+	[ybgIJKL-nei 742,827 &rarr; 746,726]
abrB	-	[TU0-13031 746,723 &larr; 747,769]
ybfG	-	[ybfHG 715,947 &larr; 716,597]
ybfQ	+	[TU0-13028 736,445 &rarr; 736,699]
yeaX	+	[TU0-13412 1,885,845 &rarr; 1,886,810]
dnaC // dnaT	-	[dnaTC 4,600,238 &larr; 4,601,517]
yggI	+	[TU0-13804 3,089,755 &rarr; 3,090,252]
thiS // thiH // thiG // thiF // thiE // thiC	-	[thiCEFSGH 4,190,735 &larr; 4,196,099]
mdtM // yjiN	-	[TU0-14203 4,565,966 &larr; 4,568,519]
pepA	-	[pepA 4,484,440 &larr; 4,485,951]
kbp // yqaE	-	[yqaE-kbp 2,796,337 &larr; 2,797,028]
bssS	-	[bssS 1,120,701 &larr; 1,120,955]
leuS // lptE // holA // nadD // cobC	-	[TU0-13010 669,296 &larr; 674,783]
yeaC	-	[TU0-13395 1,861,702 &larr; 1,861,974]
kdgR	-	[kdgR 1,909,308 &larr; 1,910,099]
tufA // fusA // rpsG // rpsL	-	[rpsLG-fusA-tufA 3,470,145 &larr; 3,474,552]
sdhE // ygfX	-	[sdhE-ygfX 3,040,416 &larr; 3,041,070]
insO	+	[insN-2 NIL &rarr; NIL]
ygiC // ygiB // tolC	+	[tolC-ygiBC 3,178,115 &rarr; 3,181,581]
galK // galT // galE	-	[galETK 788,831 &larr; 792,055]
ydhP	-	[ydhP 1,736,121 &larr; 1,737,290]
ybdO	-	[TU0-12994 636,716 &larr; 637,618]
nlpC	-	[TU0-13378 1,792,267 &larr; 1,792,731]
mdtK	+	[mdtK 1,743,457 &rarr; 1,744,830]
rfaD // waaF // waaC // waaL	+	[rfaDFCL 3,793,987 &rarr; 3,798,207]
ygeR	-	[TU0-13771 2,999,136 &larr; 2,999,891]
ridA	-	[ridA 4,470,527 &larr; 4,470,913]
gpt	+	[gpt 255,977 &rarr; 256,435]
degS	+	[degS 3,382,200 &rarr; 3,383,267]
ylcG // rusA // ybcO // ninE // ybcN	+	[TU0-12975 572,466 &rarr; 573,870]
rimJ	+	[rimJ 1,125,562 &rarr; 1,126,146]
ydhS	+	[TU0-13362 1,747,131 &rarr; 1,748,735]
galR	+	[galR 2,976,599 &rarr; 2,977,630]
rimP // infB // nusA	-	[rimP-nusA-infB 3,313,342 &larr; 3,318,006]
kduD	-	[TU0-13755 2,982,497 &larr; 2,983,258]
yjfJ // yjfI	+	[TU0-14153 4,410,133 &rarr; 4,411,251]
tusB // tusC // tusD // yheO	-	[yheO-tusDCB 3,474,678 &larr; 3,476,440]
gloA // nemA // nemR	+	[nemRA-gloA 1,726,023 &rarr; 1,728,244]
ybbP // ybbA	+	[TU0-12959 519,733 &rarr; 522,830]
yggE	-	[yggE 3,067,340 &larr; 3,068,080]
folM // ydgI	+	[TU0-13345 1,679,557 &rarr; 1,681,698]
dsrB	-	[dsrB 2,024,635 &larr; 2,024,823]
syd	-	[TU0-13737 2,924,735 &larr; 2,925,280]
menE // menC // menB // menH // menD // menF	-	[menFD-yfbB-menBCE 2,373,648 &larr; 2,380,643]
adiC	-	[adiC 4,335,694 &larr; 4,337,031]
trpS // gph // rpe // dam // damX // aroB // aroK	-	[aroKB-damX-dam-rpe-gph-trpS 3,512,634 &larr; 3,519,064]
glk	-	[glk 2,508,461 &larr; 2,509,426]
hisL	+	[hisL 2,089,996 &rarr; 2,090,046]
ybaA	+	[TU0-12939 476,672 &rarr; 477,025]
pgk	-	[pgk 3,071,459 &larr; 3,072,622]
dicA	+	[TU0-13328 1,647,934 &rarr; 1,648,341]
amiC	-	[amiC 2,947,757 &larr; 2,949,010]
pphB	+	[TU0-13720 2,859,760 &rarr; 2,860,416]
glgS	-	[glgS 3,191,739 &larr; 3,191,939]
dusA	+	[TU0-14118 4,261,669 &rarr; 4,262,706]
ymiC // acnA	+	[acnA 1,335,572 &rarr; 1,338,506]
ybjT // ltaE	-	[ltaE-ybjT 906,852 &larr; 909,294]
rmf	+	[rmf 1,015,715 &rarr; 1,015,882]
yajD	+	[TU0-12919 430,605 &rarr; 430,952]
pagP	+	[pagP 656,557 &rarr; 657,117]
ydfH	+	[ydfH 1,628,352 &rarr; 1,629,038]
yggR	-	[yggR 3,094,100 &larr; 3,095,080]
pinH	-	[TU0-13701 2,783,065 &larr; 2,783,304]
dppF // dppD // dppC // dppB // dppA	-	[dppABCDF 3,701,864 &larr; 3,707,705]
yijD // fabR	+	[TU0-14097 4,161,067 &rarr; 4,162,130]
proX // proW // proV	+	[proVWX 2,804,815 &rarr; 2,808,124]
bglJ // yjjQ	+	[yjjQ-bglJ 4,603,477 &rarr; 4,604,837]
ddpF // ddpD // ddpC // ddpB // ddpA // ddpX	-	[ddpXABCDF 1,557,112 &larr; 1,563,076]
frmR // frmA // frmB	-	[TU0-12902 377,535 &larr; 379,881]
tfaQ // stfQ // nohA	-	[nohA-stfQ-tfaQ 1,634,310 &larr; 1,636,367]
yneL	-	[TU0-13295 1,590,334 &larr; 1,590,536]
yfdY	-	[yfdY 2,495,050 &larr; 2,495,292]
nadK	+	[TU0-13683 2,750,831 &rarr; 2,751,709]
btuD // btuE // btuC	-	[btuCED 1,792,809 &larr; 1,795,152]
yiiG	+	[TU0-14074 4,087,002 &rarr; 4,088,057]
rtcA // rtcB	-	[rtcBA 3,555,833 &larr; 3,558,079]
alsE // alsC // alsA // alsB	-	[alsBACE 4,307,783 &larr; 4,312,042]
yjhC // yjhB	+	[TU0-42415 4,504,058 &rarr; 4,506,405]
rclB // rclC	-	[TU0-12884 317,726 &larr; 318,567]
tktB	+	[tktB 2,579,636 &rarr; 2,581,639]
yedA	+	[yedA 2,029,539 &rarr; 2,030,459]
yphG	-	[TU0-13664 2,679,464 &larr; 2,682,745]
accA	+	[accA 208,621 &rarr; 209,580]
yihD	+	[yihD 4,042,069 &rarr; 4,042,338]
tpx	-	[tpx 1,388,305 &larr; 1,388,811]
rrfH // rrlH	+	[rrlH-rrfH 225,759 &rarr; 228,875]
msrB	-	[msrB 1,862,016 &larr; 1,862,429]
yagH // yagG	+	[TU0-12868 285,395 &rarr; 288,399]
sra // bdm	-	[bdm-sra 1,555,826 &larr; 1,556,280]
ydcK	-	[ydcK 1,499,469 &larr; 1,500,449]
yfgI // yfgH	+	[TU0-13648 2,629,792 &rarr; 2,630,865]
treC // treB	-	[treBC 4,463,054 &larr; 4,466,180]
yzcX	+	[TU0-14041 3,993,850 &rarr; 3,994,335]
hupB	+	[hupB 461,451 &rarr; 461,723]
fucR	+	[fucR 2,939,368 &rarr; 2,940,099]
mpaA	-	[TU0-41739 1,389,870 &larr; 1,390,598]
lafU	+	[TU0-12852 250,072 &rarr; 250,827]
argE	-	[argE 4,153,696 &larr; 4,154,847]
insI2	+	[TU0-13246 1,469,358 &rarr; 1,470,509]
comR	-	[ycfQ 1,168,200 &larr; 1,168,832]
yffN // yffM	+	[TU0-13630 2,561,368 &rarr; 2,561,993]
codB // codA	+	[codBA 354,922 &rarr; 357,454]
yidZ	+	[TU0-14023 3,892,765 &rarr; 3,893,724]
glpR // glpG	-	[glpGR 3,559,848 &larr; 3,561,452]
hslO // hslR	+	[hslR-hslO 3,529,348 &rarr; 3,530,652]
yggN	-	[yggN 3,100,904 &larr; 3,101,623]
yaeF	-	[TU0-12836 216,179 &larr; 217,003]
pnp // rpsO	-	[rpsO-pnp 3,309,033 &larr; 3,311,684]
racR	-	[TU0-13230 1,419,765 &larr; 1,420,241]
ytjC	+	[ytjC 4,633,797 &rarr; 4,634,444]
ypdC // pyrR // pyrS	+	[TU0-13613 2,498,671 &rarr; 2,501,987]
lrp	+	[lrp 932,595 &rarr; 933,089]
setC	+	[TU0-14008 3,836,953 &rarr; 3,838,137]
arcA	-	[arcA 4,639,590 &larr; 4,640,306]
potI // potH // potG // potF	+	[potFGHI 893,784 &rarr; 897,929]
arrS	-	[arrS 3,657,986 &larr; 3,658,054]
yadC	-	[yadC 149,715 &larr; 150,953]
ssuB // ssuC // ssuD // ssuA // ssuE	-	[ssuEADCB 993,277 &larr; 997,512]
ompG	+	[TU0-13213 1,381,947 &rarr; 1,382,852]
yodD	+	[yodD 2,024,986 &rarr; 2,025,213]
yfcZ	-	[yfcZ 2,460,650 &larr; 2,460,934]
fepC // fepG // fepD	-	[fepDGC 619,384 &larr; 622,189]
yibL	+	[TU0-13993 3,776,665 &rarr; 3,777,027]
eda	-	[eda 1,932,115 &larr; 1,932,756]
ryfD	-	[ryfD 2,734,153 &larr; 2,734,295]
luxS	-	[luxS 2,814,218 &larr; 2,814,733]
djlA	+	[TU0-12801 57,364 &rarr; 58,179]
pabA	-	[pabA 3,490,266 &larr; 3,490,829]
yciE // yciF // yciG	-	[yciGFE 1,314,718 &larr; 1,316,035]
ykgL	+	[ykgL 312,112 &rarr; 312,339]
yfbR	+	[yfbR 2,408,862 &rarr; 2,409,461]
dsdC	-	[dsdC 2,476,694 &larr; 2,477,629]
yhjY	-	[TU0-13977 3,712,236 &larr; 3,712,934]
putP	+	[putP 1,079,305 &rarr; 1,080,813]
cyaA	+	[cyaA 3,991,153 &rarr; 3,993,699]
