Gene,Monomer,Covert_Expression,Li_Expression
pgm,PHOSPHOGLUCMUT-MONOMER,153.752733333,253.000000
potE,POTE-MONOMER,2.8759,5.000000
speF,ORNDECARBOXDEG-MONOMER,1.54156666667,1.000000
kdpC,EG10515-MONOMER,3.6718,6.000000
kdpB,KDPB-MONOMER,1.1773,1.000000
dtpD,B0709-MONOMER,3.9112,6.000000
gltA,CITSYN-MONOMER,246.704266667,124.000000
sdhC,SDH-MEMB1,65.7097666667,178.000000
sdhD,SDH-MEMB2,54.6909333333,228.000000
sdhA,SDH-FLAVO,79.2325,251.000000
sdhB,SDH-FE-S,118.8581,251.000000
sucA,E1O-MONOMER,217.2273,315.000000
sucB,E2O-MONOMER,365.702733333,424.000000
sucC,SUCCCOASYN-BETA,299.6744,281.000000
sucD,SUCCCOASYN-ALPHA,337.474433333,260.000000
mngB,EG13236-MONOMER,5.46313333333,3.000000
cydA,CYDA-MONOMER,354.1239,179.000000
cydB,CYDB-MONOMER,239.119833333,181.000000
ybgC,EG11110-MONOMER,53.6556666667,187.000000
nadA,QUINOLINATE-SYNTHA-MONOMER,413.1797,210.000000
pnuC,PNUC-MONOMER,204.3405,175.000000
zitB,B0752-MONOMER,53.5831,6.000000
aroG,AROG-MONOMER,324.914833333,153.000000
gpmA,GPMA-MONOMER,1513.837,599.000000
galM,ALDOSE1EPIM-MONOMER,140.801266667,109.000000
galK,GALACTOKIN-MONOMER,81.0143333333,39.000000
galT,GALACTURIDYLYLTRANS-MONOMER,37.8704333333,33.000000
galE,UDPGLUCEPIM-MONOMER,67.3004,58.000000
modA,MODA-MONOMER,448.7818,29.000000
modB,MODB-MONOMER,135.1277,23.000000
modC,MODC-MONOMER,81.5598666667,18.000000
ybhA,EG11239-MONOMER,37.4165333333,51.000000
pgl,6PGLUCONOLACT-MONOMER,97.1525,85.000000
bioA,DAPASYN-MONOMER,52.1559666667,106.000000
bioB,BIOTIN-SYN-MONOMER,108.8485,193.000000
bioF,7KAPSYN-MONOMER,51.0496333333,156.000000
bioC,EG10119-MONOMER,47.4668,126.000000
bioD,DETHIOBIOTIN-SYN-MONOMER,63.7022,109.000000
moaA,EG11595-MONOMER,44.3793333333,77.000000
moaC,EG11666-MONOMER,27.4657,98.000000
moaD,EG11597-MONOMER,18.7701666667,92.000000
moaE,EG11598-MONOMER,36.4609666667,87.000000
clsB,G6406-MONOMER,1.79346666667,1.000000
fiu,G6414-MONOMER,1000.16113333,7.000000
glnQ,GLNQ-MONOMER,130.8362,16.000000
glnP,GLNP-MONOMER,111.913466667,17.000000
glnH,GLNH-MONOMER,533.047033333,22.000000
rhtA,EG12134-MONOMER,5.31613333333,12.000000
ybiV,G6425-MONOMER,22.5815333333,24.000000
fsaA,G6428-MONOMER,12.9777,5.000000
moeB,EG10154-MONOMER,47.0047,54.000000
moeA,EG10153-MONOMER,41.252,62.000000
iaaA,EG12407-MONOMER,66.0650666667,21.000000
gsiA,YLIA-MONOMER,31.9454333333,13.000000
gsiB,YLIB-MONOMER,20.3568666667,9.000000
gsiC,YLIC-MONOMER,10.2742,9.000000
gsiD,YLID-MONOMER,6.39526666667,7.000000
yliI,G6437-MONOMER,5.84746666667,1.000000
dacC,EG10203-MONOMER,37.4103333333,32.000000
ybjG,G6439-MONOMER,17.6923,62.000000
mdfA,CMR-MONOMER,6.15773333333,38.000000
grxA,RED-GLUTAREDOXIN,22.7454,49.000000
potF,POTF-MONOMER,10.7102666667,14.000000
potG,POTG-MONOMER,5.24913333333,10.000000
potH,POTH-MONOMER,2.93996666667,7.000000
potI,POTI-MONOMER,3.51236666667,9.000000
artJ,ARTJ-MONOMER,24.4540666667,14.000000
artM,ARTM-MONOMER,31.7127,76.000000
artQ,ARTQ-MONOMER,20.631,86.000000
artI,ARTI-MONOMER,65.1692,128.000000
artP,ARTP-MONOMER,50.5155666667,100.000000
ltaE,LTAA-MONOMER,46.0483333333,36.000000
poxB,PYRUVOXID-MONOMER,11.9187666667,2.000000
aqpZ,AQPZ-MONOMER,3.57146666667,9.000000
cydC,CYDC-MONOMER,47.1013333333,51.000000
cydD,CYDD-MONOMER,27.5523333333,51.000000
trxB,THIOREDOXIN-REDUCT-NADPH-MONOMER,233.8629,433.000000
serS,SERS-MONOMER,514.327933333,445.000000
dmsA,DMSA-MONOMER,21.9465,3.000000
dmsB,DMSB-MONOMER,5.5541,4.000000
dmsC,DMSC-MONOMER,3.6025,5.000000
pflA,PFLACTENZ-MONOMER,53.9597666667,70.000000
pflB,PYRUVFORMLY-MONOMER,1262.22763333,395.000000
focA,FOCA-MONOMER,729.926866667,97.000000
serC,PSERTRANSAM-MONOMER,302.693233333,176.000000
aroA,AROA-MONOMER,122.1683,77.000000
cmk,CMPKI-MONOMER,159.606066667,420.000000
msbA,EG10613-MONOMER,46.0620666667,148.000000
lpxK,TETRAACYLDISACC4KIN-MONOMER,20.4515666667,86.000000
kdsB,CPM-KDOSYNTH-MONOMER,122.376266667,198.000000
aspC,ASPAMINOTRANS-MONOMER,298.747633333,139.000000
ompF,EG10671-MONOMER,3523.6036,2771.000000
asnS,ASNS-MONOMER,243.265466667,718.000000
pncB,NICOTINATEPRIBOSYLTRANS-MONOMER,171.4274,273.000000
pepN,EG10696-MONOMER,100.1441,110.000000
ssuB,YCBE-MONOMER,7.90223333333,2.000000
ssuC,YCBM-MONOMER,0.9823,1.000000
pyrD,DIHYDROOROTOX-MONOMER,63.9959333333,83.000000
fabA,FABA-MONOMER,253.072266667,869.000000
ompA,EG10669-MONOMER,8168.04356667,7571.000000
mgsA,METHGLYSYN-MONOMER,205.074066667,111.000000
yccX,G6502-MONOMER,21.1611666667,9.000000
hyaB,HYAB-MONOMER,0.721866666667,1.000000
hyaC,HYAC-MONOMER,0.970233333333,1.000000
appC,APPC-MONOMER,3.01283333333,2.000000
appB,APPB-MONOMER,4.36363333333,3.000000
appA,APPA-MONOMER,5.10993333333,2.000000
torA,TORA-MONOMER,1.3872,1.000000
agp,GLUCOSE-1-PHOSPHAT-MONOMER,12.7033333333,4.000000
rutG,B1006-MONOMER,3.3064,2.000000
putP,PUTP-MONOMER,29.2244333333,105.000000
ghrA,G6539-MONOMER,66.9371666667,21.000000
lpxL,LAUROYLACYLTRAN-MONOMER,37.0579666667,46.000000
solA,SARCOX-MONOMER,51.0933333333,43.000000
pyrC,DIHYDROOROT-MONOMER,187.434333333,133.000000
grxB,GRXB-MONOMER,129.7228,25.000000
murJ,G6561-MONOMER,23.2430333333,60.000000
plsX,EG11437-MONOMER,124.771833333,752.000000
fabH,FABH-MONOMER,232.078933333,721.000000
fabD,MALONYL-COA-ACP-TRANSACYL-MONOMER,390.0159,859.000000
fabG,3-OXOACYL-ACP-REDUCT-MONOMER,799.187766667,1714.000000
acpP,EG50003-MONOMER,6057.4016,9325.000000
fabF,3-OXOACYL-ACP-SYNTHII-MONOMER,442.5616,1523.000000
pabC,ADCLY-MONOMER,15.1342333333,33.000000
tmk,DTMPKI-MONOMER,30.5936,82.000000
ptsG,PTSG-MONOMER,611.482766667,1225.000000
fhuE,EG10306-MONOMER,220.993666667,2.000000
thiK,THIKIN-MONOMER,30.6457666667,32.000000
nagZ,G6567-MONOMER,75.2924333333,61.000000
ndh,NADH-DHII-MONOMER,149.939266667,453.000000
nagK,G6576-MONOMER,40.2468,55.000000
potD,POTD-MONOMER,186.313233333,384.000000
potC,POTC-MONOMER,87.5936666667,262.000000
potB,POTB-MONOMER,20.2759,244.000000
potA,POTA-MONOMER,33.4301333333,285.000000
purB,ASL-MONOMER,182.4861,263.000000
nudJ,G6580-MONOMER,29.7363666667,35.000000
icd,ISOCITDEH-SUBUNIT,1215.52333333,886.000000
dsbB,DSBBPROT-MONOMER,47.7091333333,157.000000
nhaB,NHAB-MONOMER,62.9392666667,72.000000
dadA,DALADEHYDROGA-MONOMER,87.5657,112.000000
dadX,ALARACECAT-MONOMER,59.7722666667,79.000000
ldcA,G6621-MONOMER,32.0611666667,21.000000
emtA,G6622-MONOMER,54.0857,103.000000
treA,TREHALAPERI-MONOMER,3.69243333333,1.000000
dhaM,EG12399-MONOMER,102.4377,33.000000
dhaL,MONOMER0-1261,173.422333333,36.000000
dhaK,G6627-MONOMER,232.824533333,30.000000
dauA,YCHM-MONOMER,12.8091,35.000000
prs,PRPPSYN-MONOMER,438.956133333,1071.000000
ispE,EG11294-MONOMER,170.7151,277.000000
hemA,GLUTRNAREDUCT-MONOMER,45.1787,56.000000
kdsA,KDO-8PSYNTH-MONOMER,166.984666667,227.000000
chaA,CHAA-MONOMER,22.7845666667,45.000000
narK,NARK-MONOMER,3.38276666667,1.000000
narG,NARG-MONOMER,6.57933333333,1.000000
narH,NARH-MONOMER,1.79646666667,3.000000
narJ,NARJ-MONOMER,1.3564,3.000000
narI,NARI-MONOMER,1.1884,3.000000
purU,FORMYLTHFDEFORMYL-MONOMER,184.5653,189.000000
galU,GLUC1PURIDYLTRANS-MONOMER,143.7949,379.000000
tdk,TDK-MONOMER,28.6604666667,61.000000
adhE,ADHE-MONOMER,1315.1796,141.000000
oppA,OPPA-MONOMER,607.320166667,809.000000
oppB,OPPB-MONOMER,110.203,392.000000
oppC,OPPC-MONOMER,96.8894666667,382.000000
oppD,OPPD-MONOMER,126.350033333,363.000000
oppF,OPPF-MONOMER,145.9464,356.000000
clsA,CARDIOLIPSYN-MONOMER,50.6647333333,46.000000
kch,KCH-MONOMER,19.1022,9.000000
tonB,EG11012-MONOMER,210.8503,46.000000
trpA,TRYPSYN-APROTEIN,43.8784333333,21.000000
trpB,TRYPSYN-BPROTEIN,42.0043,23.000000
trpC,PRAI-IGPS,23.6611,13.000000
trpD,ANTHRANSYNCOMPII-MONOMER,9.12216666667,8.000000
trpE,ANTHRANSYNCOMPI-MONOMER,6.14516666667,7.000000
btuR,COBALADENOSYLTRANS-MONOMER,37.4885,25.000000
acnA,ACONITASE-MONOMER,28.3816333333,18.000000
ribA,GTP-CYCLOHYDRO-II-MONOMER,163.1347,90.000000
pgpB,PGPPHOSPHAB-MONOMER,33.2693,16.000000
pyrF,OROTPDECARB-MONOMER,36.9900333333,154.000000
fabI,ENOYL-ACP-REDUCT-NADH-MONOMER,678.7317,1196.000000
sapD,SAPD-MONOMER,34.9568333333,37.000000
puuP,B1296-MONOMER,3.13433333333,4.000000
puuA,G6644-MONOMER,10.5039666667,7.000000
puuD,G6645-MONOMER,10.9221666667,9.000000
puuC,ALDHDEHYDROG-MONOMER,3.99596666667,2.000000
puuB,EG11822-MONOMER,3.46693333333,2.000000
puuE,G6646-MONOMER,3.83693333333,1.000000
pspE,EG10780-MONOMER,59.5658333333,45.000000
ycjG,G6661-MONOMER,22.4087333333,10.000000
mpaA,G6662-MONOMER,36.7814,13.000000
mppA,G6665-MONOMER,15.1598333333,31.000000
trkG,TRKG-MONOMER,12.9440333333,9.000000
ompN,G6700-MONOMER,0.573866666667,3.000000
ydbK,G6701-MONOMER,39.2721666667,58.000000
ldhA,DLACTDEHYDROGNAD-MONOMER,28.6554666667,101.000000
feaB,PHENDEHYD-MONOMER,4.07506666667,4.000000
tynA,AMINEOXID-MONOMER,1.70196666667,1.000000
paaA,G6709-MONOMER,0.691133333333,1.000000
paaB,G6710-MONOMER,0.5843,1.000000
paaE,G6713-MONOMER,1.42893333333,1.000000
paaF,G6714-MONOMER,1.10246666667,1.000000
paaG,G6715-MONOMER,0.739666666667,1.000000
paaH,G6716-MONOMER,0.7637,1.000000
paaJ,G6718-MONOMER,3.16773333333,3.000000
paaK,G6719-MONOMER,2.94746666667,3.000000
aldA,LACTALDDEHYDROG-MONOMER,18.4771333333,28.000000
ydcS,YDCS-MONOMER,2.25823333333,1.000000
ydcT,YDCT-MONOMER,0.457966666667,1.000000
ydcU,YDCU-MONOMER,2.0029,2.000000
ydcV,YDCV-MONOMER,0.7214,1.000000
patD,G6755-MONOMER,4.2537,3.000000
ansP,ANSP-MONOMER,10.6314,27.000000
nhoA,G6770-MONOMER,7.55953333333,3.000000
narV,NARV-MONOMER,1.79846666667,2.000000
narY,NARY-MONOMER,0.881333333333,1.000000
narZ,NARZ-MONOMER,1.46773333333,1.000000
yddG,EG12713-MONOMER,8.89616666667,12.000000
fdnG,FDNG-MONOMER,1.66456666667,3.000000
fdnH,FDNH-MONOMER,1.18473333333,3.000000
fdnI,FDNI-MONOMER,1.14403333333,6.000000
adhP,ADHP-MONOMER,8.52236666667,4.000000
maeA,MALIC-NAD-MONOMER,118.186766667,64.000000
ddpF,YDDO-MONOMER,5.0643,1.000000
ddpD,YDDP-MONOMER,1.6828,1.000000
ddpC,YDDQ-MONOMER,2.62096666667,1.000000
ddpB,YDDR-MONOMER,1.32576666667,1.000000
dosP,G6783-MONOMER,3.235,1.000000
gadC,XASA-MONOMER,5.6944,1.000000
tam,G6806-MONOMER,6.45886666667,3.000000
uxaB,ALTRO-OXIDOREDUCT-MONOMER,3.0729,1.000000
yneH,G6810-MONOMER,14.9298333333,45.000000
sad,G6811-MONOMER,13.8046,11.000000
ydeA,YDEA-MONOMER,10.5911666667,19.000000
eamA,EG11639-MONOMER,12.4414333333,16.000000
ydfG,EG12345-MONOMER,157.9237,119.000000
speG,SPERMACTRAN-MONOMER,115.9318,95.000000
ynfF,G6846-MONOMER,4.3955,3.000000
ynfG,G6847-MONOMER,3.4562,2.000000
ynfH,G6848-MONOMER,16.2584,15.000000
clcB,YNFJ-MONOMER,7.46773333333,5.000000
mdtI,B1599-MONOMER,6.8678,12.000000
mdtJ,B1600-MONOMER,5.6654,11.000000
pntB,PNTB-MONOMER,100.107233333,139.000000
pntA,PNTA-MONOMER,128.143,130.000000
ydgI,ARCD-MONOMER,4.1466,50.000000
folM,G6862-MONOMER,21.7475,23.000000
fumC,FUMC-MONOMER,10.3560666667,19.000000
fumA,FUMA-MONOMER,26.1219,81.000000
manA,MANNPISOM-MONOMER,98.0665,63.000000
malX,MALX-MONOMER,8.95426666667,6.000000
malY,EG10564-MONOMER,21.6958333333,19.000000
add,ADENODEAMIN-MONOMER,38.7485666667,24.000000
tppB,B1634-MONOMER,183.275066667,348.000000
pdxY,PDXY-MONOMER,52.4778666667,45.000000
tyrS,TYRS-MONOMER,161.960566667,343.000000
pdxH,PDXH-MONOMER,88.8979,62.000000
anmK,G6880-MONOMER,20.8721666667,17.000000
sodC,G6886-MONOMER,22.4561,10.000000
gloA,GLYOXI-MONOMER,176.9175,126.000000
grxD,EG12181-MONOMER,273.286333333,411.000000
sodB,SUPEROX-DISMUTFE-MONOMER,125.0154,756.000000
cfa,CFA-MONOMER,114.003066667,67.000000
ribC,RIBOFLAVIN-SYN-MONOMER,125.9807,75.000000
pykF,PKI-MONOMER,347.442833333,313.000000
lpp,EG10544-MONOMER,10387.7684333,40322.000000
sufE,G6905-MONOMER,92.6683333333,5.000000
sufS,G6906-MONOMER,109.1739,7.000000
sufC,G6908-MONOMER,136.964166667,9.000000
sufB,G6909-MONOMER,128.050766667,10.000000
sufA,EG11378-MONOMER,196.8468,9.000000
ydiB,EG11234-MONOMER,4.55436666667,3.000000
aroD,AROD-MONOMER,22.9944333333,17.000000
fadK,EG12357-MONOMER,2.38953333333,1.000000
ppsA,PEPSYNTH-MONOMER,145.180233333,132.000000
aroH,AROH-MONOMER,33.2041333333,73.000000
btuD,BTUD-MONOMER,32.5119666667,27.000000
btuE,BTUE-MONOMER,37.1356,30.000000
btuC,BTUC-MONOMER,20.4606,25.000000
pheT,PHET-MONOMER,231.062233333,449.000000
pheS,PHES-MONOMER,192.267133333,412.000000
thrS,THRS-MONOMER,837.504833333,740.000000
pfkB,6PFK-2-MONOMER,12.4883666667,27.000000
katE,HYDROPEROXIDII-MONOMER,2.72596666667,1.000000
chbF,EG10144-MONOMER,3.65633333333,2.000000
nadE,NAD-SYNTH-MONOMER,121.750133333,92.000000
astE,SUCCGLUDESUCC-MONOMER,1.68156666667,1.000000
astB,SUCCARGDIHYDRO-MONOMER,1.68353333333,1.000000
astD,SUCCGLUALDDEHYD-MONOMER,1.96406666667,1.000000
astC,SUCCORNTRANSAM-MONOMER,2.04193333333,1.000000
nudG,G6954-MONOMER,40.4512333333,17.000000
gdhA,GDHA-MONOMER,189.206833333,17.000000
selD,EG10943-MONOMER,161.552333333,149.000000
ansA,ANSA-MONOMER,52.0765,91.000000
pncA,NICOTINAMID-MONOMER,55.7850666667,96.000000
ydjI,G6960-MONOMER,1.66623333333,1.000000
msrB,EG12394-MONOMER,110.2631,102.000000
gapA,GAPDH-A-MONOMER,4616.98113333,2934.000000
yeaE,G6967-MONOMER,17.8344333333,10.000000
dmlA,G6986-MONOMER,4.28366666667,3.000000
fadD,ACYLCOASYN-MONOMER,8.70983333333,49.000000
pabB,PABASYN-COMPI-MONOMER,18.3179,23.000000
sdaA,LSERINEDEAM1-MONOMER,27.7978333333,90.000000
manX,MANX-MONOMER,282.255533333,182.000000
manY,MANY-MONOMER,234.015066667,221.000000
manZ,MANZ-MONOMER,165.955833333,250.000000
purT,GARTRANSFORMYL2-MONOMER,86.7596,23.000000
eda,KDPGALDOL-4OH2OXOGLUTARALDOL-MONOMER,95.5771333333,298.000000
edd,PGLUCONDEHYDRAT-MONOMER,50.9559,37.000000
zwf,GLU6PDEHYDROG-MONOMER,189.753,185.000000
pykA,PKII-MONOMER,162.537066667,101.000000
lpxM,MYRISTOYLACYLTRAN-MONOMER,26.2466,50.000000
znuA,ZNUA-MONOMER,64.0813666667,103.000000
znuC,ZNUC-MONOMER,34.3758333333,36.000000
znuB,ZNUB-MONOMER,15.8891333333,30.000000
nudB,H2NEOPTERINP3PYROPHOSPHOHYDRO-MONOMER,174.3411,357.000000
aspS,ASPS-MONOMER,130.944533333,366.000000
torZ,G7022-MONOMER,2.70856666667,2.000000
argS,ARGS-MONOMER,50.5906666667,195.000000
otsA,TREHALOSE6PSYN-MONOMER,9.98536666667,3.000000
otsB,TREHALOSEPHOSPHASYN-MONOMER,7.23363333333,1.000000
araH,ARAH-MONOMER,6.93436666667,2.000000
araG,ARAG-MONOMER,6.44883333333,1.000000
araF,ARAF-MONOMER,2.6437,1.000000
tyrP,TYRP-MONOMER,9.89613333333,38.000000
pgsA,PHOSPHAGLYPSYN-MONOMER,75.7798,46.000000
dcyD,DCYSDESULF-MONOMER,57.0636666667,32.000000
amyA,ALPHA-AMYL-CYTO-MONOMER,44.7651,4.000000
shiA,SHIA-MONOMER,74.2539333333,18.000000
amn,AMP-NUCLEOSID-MONOMER,122.420733333,23.000000
cobT,DMBPPRIBOSYLTRANS-MONOMER,16.7493333333,26.000000
cobS,COBS-MONOMER,11.2979666667,33.000000
cobU,COBU-MONOMER,18.3658333333,24.000000
dacD,RPOA-MONOMER,5.6521,7.000000
hisG,ATPPHOSRIBOSTRANS-MONOMER,68.6916666667,99.000000
hisD,HISTDEHYD-MONOMER,51.6381333333,95.000000
hisC,HISTPHOSTRANS-MONOMER,44.9053,83.000000
hisB,IMIDPHOSPHADEHYDHISTIDPHOSPHA-MONOMER,76.3969666667,101.000000
hisH,GLUTAMIDOTRANS-MONOMER,47.9830333333,97.000000
hisA,PRIBFAICARPISOM-MONOMER,33.7346,85.000000
hisF,CYCLASE-MONOMER,41.6569666667,79.000000
hisI,HISTCYCLOPRATPPHOS,104.610766667,90.000000
wzzB,G7090-MONOMER,155.971766667,412.000000
ugd,UGD-MONOMER,12.0793666667,11.000000
gnd,6PGLUCONDEHYDROG-MONOMER,709.1263,1064.000000
wbbK,EG11985-MONOMER,56.4222,127.000000
wbbJ,EG11984-MONOMER,112.015333333,169.000000
wbbI,EG11983-MONOMER,80.3633,209.000000
wbbH,EG11982-MONOMER,36.5188666667,142.000000
glf,GALPMUT-MONOMER,159.1957,185.000000
rfbX,RFBX-MONOMER,67.2984333333,153.000000
rfbC,DTDPDEHYDRHAMEPIM-MONOMER,78.4954333333,209.000000
rfbA,DTDPGLUCOSEPP-MONOMER,142.704166667,248.000000
rfbD,DTDPDEHYRHAMREDUCT-MONOMER,142.379866667,234.000000
rfbB,DTDPGLUCDEHYDRAT-MONOMER,141.562766667,325.000000
wcaK,G7096-MONOMER,1.96003333333,1.000000
cpsG,PHOSMANMUT-MONOMER,1.24253333333,1.000000
cpsB,MANNPGUANYLTRANGDP-MONOMER,1.13953333333,1.000000
gmm,GDPMANMANHYDRO-MONOMER,1.9425,1.000000
fcl,FCL-MONOMER,2.76226666667,1.000000
dcd,DCTP-DEAM-MONOMER,115.9517,182.000000
udk,UDK-MONOMER,41.212,151.000000
gatD,GALACTITOLPDEHYD-MONOMER,6.8613,34.000000
gatC,GATC-MONOMER,41.5072,127.000000
gatB,GATB-MONOMER,162.7178,119.000000
gatA,GATA-MONOMER,260.251133333,152.000000
gatZ,G7128-MONOMER,599.367966667,212.000000
gatY,TAGAALDOL2-MONOMER,1038.02816667,288.000000
fbaB,FRUCBISALD-CLASSI-MONOMER,17.9724333333,6.000000
thiD,HMP-P-KIN-MONOMER,83.0136333333,4.000000
thiM,THZ-KIN-MONOMER,117.306566667,8.000000
metG,METG-MONOMER,84.515,220.000000
yehW,YEHW-MONOMER,6.03286666667,1.000000
yehX,YEHX-MONOMER,1.93013333333,2.000000
yehY,YEHY-MONOMER,1.49546666667,2.000000
osmF,YEHZ-MONOMER,3.49153333333,2.000000
bglX,EG12013-MONOMER,35.5041666667,56.000000
dld,DLACTDEHYDROGFAD-MONOMER,83.8619333333,23.000000
pbpG,EG12015-MONOMER,49.4778,50.000000
cdd,CYTIDEAM-MONOMER,27.532,16.000000
preT,G7145-MONOMER,2.42916666667,2.000000
preA,EG11289-MONOMER,2.6306,3.000000
mglC,MGLC-MONOMER,2.07473333333,8.000000
mglA,MGLA-MONOMER,1.83283333333,8.000000
mglB,MGLB-MONOMER,3.6626,22.000000
folE,GTP-CYCLOHYDRO-I-MONOMER,252.954066667,145.000000
yeiG,EG12026-MONOMER,151.164433333,19.000000
cirA,EG10155-MONOMER,1362.71773333,8.000000
lysP,LYSP-MONOMER,34.3396333333,217.000000
fruA,FRUA-MONOMER,27.1781666667,31.000000
fruK,1-PFK-MONOMER,87.6807333333,25.000000
fruB,FRUB-MONOMER,186.4546,23.000000
setB,B2170-MONOMER,3.67926666667,2.000000
lpxT,G7146-MONOMER,24.4428333333,56.000000
ccmE,CCME-MONOMER,7.09783333333,20.000000
ccmD,EG12169-MONOMER,3.43353333333,21.000000
ccmC,CCMC-MONOMER,6.47513333333,21.000000
ccmB,CCMB-MONOMER,7.48866666667,11.000000
ccmA,CCMA-MONOMER,28.072,11.000000
napC,NAPC-MONOMER,24.3534333333,17.000000
napB,NAPB-MONOMER,2.7619,12.000000
napH,NAPH-MONOMER,1.15996666667,7.000000
napG,NAPG-MONOMER,1.5524,11.000000
napA,NAPA-MONOMER,7.22386666667,12.000000
mqo,EG12069-MONOMER,102.8232,98.000000
ompC,EG10670-MONOMER,6368.27436667,4911.000000
atoB,ACETYL-COA-ACETYLTRANSFER-MONOMER,1.26,1.000000
ubiG,DHHB-METHYLTRANSFER-MONOMER,47.7203333333,69.000000
nrdA,NRDA-MONOMER,86.3692666667,321.000000
nrdB,NRDB-MONOMER,105.682033333,289.000000
glpQ,GLYCPDIESTER-PERI-MONOMER,65.9587333333,14.000000
glpT,GLPT-MONOMER,61.6738333333,5.000000
glpA,ANGLYC3PDEHYDROGSUBUNITA-MONOMER,610.231633333,1.000000
glpB,ANGLYC3PDEHYDROGSUBUNITB-MONOMER,220.963866667,1.000000
glpC,ANGLYC3PDEHYDROGSUBUNITC-MONOMER,49.3883333333,1.000000
nudI,G7164-MONOMER,8.1392,9.000000
arnB,G7166-MONOMER,2.4786,10.000000
arnC,G7167-MONOMER,2.79006666667,7.000000
arnA,G7168-MONOMER,7.60763333333,9.000000
arnD,G7169-MONOMER,3.05933333333,4.000000
arnT,G7170-MONOMER,1.75283333333,2.000000
arnF,G7171-MONOMER,43.3703,1.000000
menE,O-SUCCINYLBENZOATE-COA-LIG-MONOMER,18.6798666667,45.000000
menC,O-SUCCINYLBENZOATE-COA-SYN-MONOMER,33.0854666667,79.000000
menB,NAPHTHOATE-SYN-MONOMER,51.9367,126.000000
menH,EG12438-MONOMER,25.2000666667,43.000000
menD,MEND-MONOMER,26.5662666667,30.000000
menF,MENF-MONOMER,25.9749,34.000000
nuoN,NUON-MONOMER,87.8855333333,287.000000
nuoM,NUOM-MONOMER,90.3675,258.000000
nuoL,NUOL-MONOMER,79.6098,326.000000
nuoK,NUOK-MONOMER,57.3534333333,294.000000
nuoJ,NUOJ-MONOMER,107.1413,345.000000
nuoI,NUOI-MONOMER,137.495866667,295.000000
nuoH,NUOH-MONOMER,140.514133333,350.000000
nuoG,NUOG-MONOMER,149.195833333,352.000000
nuoF,NUOF-MONOMER,117.712566667,333.000000
nuoE,NUOE-MONOMER,217.672266667,356.000000
nuoC,NUOC-MONOMER,158.426266667,333.000000
nuoB,NUOB-MONOMER,314.912233333,399.000000
nuoA,NUOA-MONOMER,306.721233333,304.000000
alaA,G7184-MONOMER,162.792733333,104.000000
yfbR,G7185-MONOMER,31.9893666667,19.000000
ackA,ACETATEKINA-MONOMER,733.833333333,1108.000000
pta,PHOSACETYLTRANS-MONOMER,364.2824,651.000000
folX,H2NTPEPIM-MONOMER,165.932866667,183.000000
hisP,HISP-MONOMER,14.7525333333,18.000000
hisM,HISM-MONOMER,14.1023,17.000000
hisQ,HISQ-MONOMER,23.0715666667,22.000000
hisJ,HISJ-MONOMER,128.866366667,56.000000
argT,ARGT-MONOMER,24.6749,28.000000
ubiX,UBIX-MONOMER,18.4270333333,37.000000
purF,PRPPAMIDOTRANS-MONOMER,158.845266667,79.000000
folC,FOLC-MONOMER,54.8302333333,105.000000
accD,CARBOXYL-TRANSFERASE-BETA-MONOMER,211.083033333,511.000000
pdxB,ERYTHRON4PDEHYDROG-MONOMER,86.6221,144.000000
fabB,FABB-MONOMER,329.683733333,816.000000
mepA,EG10580-MONOMER,74.3227,69.000000
aroC,AROC-MONOMER,128.863866667,128.000000
fadJ,G7212-MONOMER,3.85486666667,4.000000
fadI,G7213-MONOMER,4.44486666667,3.000000
fadL,EG10280-MONOMER,74.8087666667,313.000000
dsdA,DSERDEAM-MONOMER,18.5714,15.000000
oxc,G7236-MONOMER,0.569266666667,1.000000
frc,G7237-MONOMER,1.0297,2.000000
lpxP,PALMITOTRANS-MONOMER,59.3242333333,5.000000
alaC,G7242-MONOMER,27.6559,48.000000
glk,GLUCOKIN-MONOMER,46.3743,31.000000
mntH,YFEP-MONOMER,231.0001,29.000000
nupC,NUPC-MONOMER,70.7951666667,181.000000
gltX,GLURS-MONOMER,278.2851,458.000000
xapB,XAPB-MONOMER,3.6598,4.000000
xapA,XANTHOSINEPHOSPHORY-MONOMER,1.04456666667,1.000000
ligA,EG10534-MONOMER,26.9507,100.000000
cysK,ACSERLYA-MONOMER,265.166966667,97.000000
ptsH,PTSH-MONOMER,2599.52503333,1322.000000
ptsI,PTSI-MONOMER,1131.8581,975.000000
crr,CRR-MONOMER,982.416733333,1320.000000
pdxK,PDXK-MONOMER,61.3955333333,44.000000
cysM,ACSERLYB-MONOMER,34.7333333333,24.000000
cysA,CYSA-MONOMER,8.76493333333,3.000000
cysW,CYSW-MONOMER,6.0137,2.000000
cysU,CYST-MONOMER,7.09086666667,2.000000
cysP,CYSP-MONOMER,14.9519666667,2.000000
murQ,G7263-MONOMER,10.4773666667,12.000000
murP,MONOMER0-5,6.8771,7.000000
amiA,NACMURLALAAMI1-MONOMER,44.4827333333,64.000000
hemF,COPROGENOXI-MONOMER,20.7568666667,42.000000
eutC,EUTC-MONOMER,13.166,14.000000
eutB,EUTB-MONOMER,73.7033333333,15.000000
eutD,G7288-MONOMER,1.45093333333,1.000000
