Matches	Direction
EG10526 // EG10524 // EG10527	-
EG10526 // EG10524 // EG10527	-
EG10526 // EG10524 // EG10527	-
G6114	+
G6637 // EG12691	+
G6637 // EG12691	+
G6621	-
G6094	+
G592	-
G0-9602	-
G0-9605	-
G0-9607	-
G0-9041	-
G7073	-
G6422	-
G6571	-
EG11253	+
G6904	-
G6108	-
EG10529 // EG10530	-
G6984	-
EG11280	-
EG11575 // EG11280 // EG11577 // EG11226 // EG11576	-
EG11575 // EG11280 // EG11577 // EG11226 // EG11576	-
EG10531	+
EG10531	+
EG10531	+
EG10531	+
EG30048 // EG30051 // EG30047	-
EG10855 // EG11412 // EG10532 // G6349 // G6350	-
EG30050	-
EG30051	-
EG30053	+
EG10533 // EG11491	+
G6113	-
G7944	-
EG12587	-
EG12128	-
EG12128 // EG11002	-
EG11548	+
EG10534 // G0-10462	-
EG11334	-
EG12330	-
EG11306	-
EG11591	-
EG10535	+
EG10539	-
EG10537 // EG10536 // EG10538 // EG10541 // EG10540	-
EG10537 // EG10536 // EG10538 // EG10541 // EG10540	-
EG11961 // EG11963 // EG11962	+
EG12690 // G6465	+
EG10774 // EG11294 // EG11293	-
G6574 // G6575 // G6573	+
EG10542	+
EG10543	+
EG10544	+
EG10544	+
EG11680 // G7665	+
EG11680 // G7665	+
EG10898 // EG12146 // EG11681 // EG11682 // EG11680	+
G7888 // G7889	+
EG10265	+
EG10265	+
EG10316	+
EG10464	-
EG10614	-
G7241	+
G7146	+
EG12123	-
EG10547	+
EG11080 // EG10548 // EG11081	+
G6805 // G6804 // G6800 // G6802 // G6801 // G6803 // G6806	+
G6798	-
G6798 // G6799	-
G6455 // G6454	-
EG12712	-
EG12712	-
EG10549	-
EG10550	-
EG10550	-
G6458	-
EG11337	-
G6392	+
EG10551	+
EG30055 // EG30057 // EG30109	+
EG10553	-
EG10553	-
G6391	+
G58	-
G6462 // G6461	+
G6462	+
G6462	+
EG10948	-
G7293	-
EG11288	+
EG10555 // EG10556 // EG10554	-
EG10557	-
EG10558 // EG10559 // EG10528	+
EG10561 // EG10560	-
EG10561	-
EG11316	+
EG10562	+
EG10564 // EG10563	+
EG10564	+
EG10565	+
EG10566	+
EG10568 // EG10567 // EG10569	+
EG10570 // EG11411 // EG10207	-
EG11637	-
EG11434 // EG11435 // EG11599	+
EG12855	+
EG11249 // EG10571 // EG10572	-
EG11249 // EG10571 // EG10572	-
G0-8899	-
G6415	-
G6761	+
EG10573	+
EG10575 // EG10574	-
EG12656	+
EG10576	-
EG10576	-
EG11622 // G6248	+
G6552	-
EG11886 // EG11885	+
EG11886 // EG11885	+
EG11618 // EG11617 // G7113 // EG12136 // G7115 // G7114	+
EG12241 // EG12240	+
EG12241 // EG12240	+
EG12241 // EG12240	+
EG11343	-
G6559	-
G6857 // G6858	-
EG12400	+
EG11720	+
G7933 // EG12576	-
EG11952 // EG11954 // EG11953	-
EG12020	-
EG10577 // EG10578	+
EG11230	-
EG11879 // EG11880	-
EG11879 // EG11880	-
EG11368 // EG12437 // EG11532	-
EG11368 // EG12437 // EG10579 // EG11532 // EG12438	-
EG11368 // EG12437 // EG10579 // EG12362 // EG11532 // EG12438	-
G6892	+
G6474 // G6475	+
G7147	+
G7147	+
EG10581	+
EG10581	+
EG10582 // EG10590	+
EG10583	+
EG10584	+
EG10585	+
EG10586	+
EG10586	+
EG10587	+
EG10587	+
EG10588	-
EG10588	-
EG10588	-
EG10589	+
EG11621 // EG11737 // EG11504	-
EG10591	-
EG10591	-
EG30059 // EG30030 // EG30052 // EG30058 // EG30029 // EG30028 // EG30031	-
EG30061	-
EG30061	-
EG10665 // EG30061 // EG10505 // EG11179	-
EG11177 // EG10665 // EG30061 // EG11178 // EG10914 // EG10505 // EG11179 // EG10743	-
EG11177 // EG10665 // EG30061 // EG11178 // EG10914 // EG10505 // EG11179 // EG10743	-
EG30062 // EG30060 // EG31117	+
EG11619	-
EG11619	-
EG10592 // EG10594	-
EG10593 // EG10592 // EG10594	-
G7002	-
G0-10671	-
G6497	-
G0-10689 // EG12525	+
G0-10689 // EG12525	+
G0-8892	+
M010 // M014 // G6205 // M013 // M012 // M011	+
EG10525 // G6201	-
EG10525 // G6201	-
G6206	+
EG10595 // EG10438 // EG10437 // EG10435 // EG10436	+
EG10595 // EG10438 // EG10437 // EG10435 // EG10436	+
G6364	-
G0-8866	+
G0-8901	+
EG30063	+
G0-16601	-
G0-16601	-
EG10597 // EG10598 // EG10596	-
EG11199	-
G6968	-
G7216	-
G7658 // EG12799 // G7659 // EG12801 // EG12800	-
G7658 // EG12799 // G7659 // EG12801 // EG12800	-
G7658 // EG12799 // G7659 // EG12801 // EG12800	-
G6852	-
G6851 // G6852	-
EG11488	-
EG12008	+
G7457	-
G7410	-
EG10246	-
EG11373	+
G6136 // G6135	+
G6759 // G6758	-
EG13236 // EG13235	+
EG13236	+
EG13236	+
EG11109	-
EG11344	-
EG10997	+
EG10376 // EG10375	-
EG12334 // EG12333 // EG11090	-
G7254	-
G6999	+
G6420 // G6421	+
EG11597 // EG11596 // EG11666 // EG11595 // EG11598	+
EG11597 // EG11596 // EG11666 // EG11595 // EG11598	+
EG11597 // EG11596 // EG11666 // EG11598	+
EG11828 // EG11829	-
EG11828 // EG11829	-
G7496	+
EG10002 // EG12427 // EG10152	+
EG10002 // EG12427 // EG10152	+
G6395 // EG11677	-
EG10154 // EG10153	-
EG11511	+
G6736	-
G0-9563 // EG10373	-
EG10602 // EG10146 // EG10149 // EG10601	-
G6662	-
G6662	-
EG12440	+
EG12440	+
G6665	+
EG12069	-
G7571	-
G7571	-
G7572 // G7571	-
G7572 // G7571	-
EG11085 // EG10344 // EG10339 // EG10347 // EG10342 // EG11086 // EG10265 // EG10620 // EG10623 // EG10604 // EG10619 // EG10622 // EG10341 // EG10621 // EG10214	+
EG11085 // EG10344 // EG10339 // EG10347 // EG10342 // EG11086 // EG10265 // EG10620 // EG10623 // EG10604 // EG10619 // EG10622 // EG10341 // EG10621 // EG10214 // EG11084	+
EG10748	+
EG10605	+
EG10608	-
EG10608	-
EG10608	-
EG10609 // EG10610 // EG10608	-
EG10609 // EG10610 // EG10608	-
EG10609 // EG10610 // EG10608	-
EG10609 // EG10610	-
EG10611	-
EG10612	+
G6255	+
EG11180	+
EG11160	-
EG11433	-
EG12394	-
EG12394	-
G7005	-
G7060 // G7059	+
EG11338	-
G7063	+
EG10616 // EG10615 // EG11965	+
EG10617	-
EG10617	-
EG12717	-
EG11358	-
EG10123 // EG11205	+
G6561	+
G7263 // G7264	+
G7263 // G7264	+
G7263 // G7264 // G7265	+
G7262	-
EG10624	+
EG11281 // EG10595 // EG10438 // EG10437 // EG10435 // EG10436	+
EG11281 // EG10595 // EG10438 // EG10437 // EG10435 // EG10436	+
EG10329	-
EG10329	-
EG10625	+
EG10627 // G7532	+
EG10627 // G7532	+
EG10627 // G7533 // G7532	+
EG10627 // G7533 // G7532	+
EG10664 // EG10627 // G7533 // G7532	+
EG10664 // EG10627 // G7533 // G7532	+
G6560	+
G7072	-
EG11700 // EG10630	+
EG10631	+
EG11546	-
EG10663	+
EG12192	+
EG10632	-
EG10634 // EG10633 // EG10632 // EG10636	-
EG10636	-
EG10636	-
EG10635	+
G6576 // G6577	+
EG10637	-
G7675 // EG10637 // G436 // G7677 // G7676	-
G7921 // G7920	-
G7921 // G7919 // G7920	-
G7678	-
G7919	-
EG12143 // EG12060 // EG12064 // EG12062 // EG12068 // EG12061 // EG12067	-
EG12143 // EG12060 // EG12064 // EG12062 // EG12068 // EG12061 // EG12067 // EG12059 // EG12054 // EG12058 // EG12053 // EG12057 // EG12052 // EG12055 // EG12169	-
EG12143 // EG12060 // EG12064 // EG12062 // EG12068 // EG12061 // EG12067 // EG12059 // EG12054 // EG12058 // EG12053 // EG12057 // EG12052 // EG12055 // EG12169	-
EG10639 // EG10638 // EG10641 // EG10640	+
EG10642	+
EG10642	+
EG11527	+
EG11460	+
EG12153	-
EG12153	-
EG10645 // EG10644	-
EG10643 // EG10646	-
EG10645 // EG10648 // EG10644 // EG10647	-
EG10649	+
EG10650	-
G6383	+
G6890	+
G6889 // G6890	+
G6889 // G6890 // G6891	+
EG11689	-
G7593	-
EG10651	+
EG11739 // EG11740	-
EG50005	-
G7748	+
G7748	+
EG11078 // EG10652	+
EG11078 // EG10652	+
EG11392	-
EG11078	+
G6770	+
EG11519 // EG12079 // EG12078 // EG12077 // EG12076 // EG12075	+
EG11519 // EG12079 // EG12078 // EG12077 // EG12076 // EG12075	+
EG11519	+
G6977	+
EG10654 // EG10655 // EG10653 // EG10188	+
EG10657	-
EG11133	-
EG10510 // EG12111	-
EG10510 // EG12111	-
EG12371	-
EG10659	-
G6820 // EG11634 // G6821	-
EG11635	+
EG12108	-
EG12108	-
EG12450 // G7413	+
EG10661 // EG12360 // EG10660	+
G812 // EG11417	-
G812	-
EG12381 // G7402 // G7401 // EG20257	+
EG10666 // EG11320 // G6234 // EG11321 // EG11322 // EG10704	+
EG11946 // EG11949 // EG11781 // EG11945 // EG11948 // EG11947 // EG11950	+
EG11212 // G7845 // EG11259 // G7846	+
EG11137 // EG10925 // EG11138	-
EG11702 // EG11915 // EG11543	+
G7740	-
EG10687 // G7579 // G7578 // G7580 // EG12633	-
G6954	+
G7164	+
EG12410	-
EG12083 // EG12087 // EG12090 // EG11773 // EG12093 // EG12082 // EG12086 // EG12089 // EG12092 // EG12084 // EG12088 // EG12091 // EG11774	-
EG12083 // EG12087 // EG12090 // EG11773 // EG12093 // EG12082 // EG12086 // EG12089 // EG12092 // EG12084 // EG12088 // EG12091 // EG11774	-
EG11773 // EG12093	-
EG11971	+
EG10664	+
EG12029	-
EG10665 // EG10505	-
G7119	-
EG10668	-
G0-10598	+
EG10669	-
EG10669	-
EG10670	-
EG10670	-
EG10670	-
EG10671	-
G6657	+
G7814	-
G6700	-
EG10672 // EG10269	-
EG10672 // EG10269	-
EG10672 // EG10269	-
EG10672 // EG10269	-
EG10673	-
EG11124	+
EG12117	+
G0-8868	-
G0-8882	-
EG12591	-
EG12859	+
EG10674 // EG10677 // EG10678 // EG10675 // EG10676	+
EG10677 // EG10678 // EG10675 // EG10676	+
G7842	+
G6756	+
EG10679	-
EG10679	-
EG10680	+
EG10680	+
EG10044	-
EG12010 // EG12011 // EG12009 // EG12012	-
EG12010 // EG12011 // EG12009 // EG12012	-
EG11391	+
EG11751	-
EG11751 // EG11752	-
EG11751 // EG11752	-
G7236	-
EG10681	+
EG31116	-
G6711 // G6714 // G6718 // G6710 // G6713 // G6716 // G6709 // G6712 // G6715 // G6719 // G6717	+
G6718	+
G6718	+
G6718	+
G6721 // G6720	+
G6708	-
EG10682	-
EG10683 // EG12693	+
EG11500 // EG11493 // EG12303 // EG11494 // EG12302	+
EG12180	+
EG11746 // EG11675	-
EG11747	-
EG11747	-
G198 // G6239	-
EG12211	+
G6154 // G6157 // G6156 // G6155	-
EG10686	-
G7596	+
G6755	+
G7474	+
EG12015	-
EG10688	+
EG10690 // EG11374	-
EG10690 // EG11374	-
EG10690 // EG11374	-
EG10690 // EG11374	-
EG11145	-
G6252	-
G6996	+
G6608	+
G6434 // G6433	+
EG12256	-
EG11236	+
G7148	+
G6639	-
EG10543 // EG10025 // EG10024 // EG11088	+
EG10523 // EG10691	-
EG10048 // EG10523 // EG10047 // EG10691	-
EG10454 // G0-9461 // EG11059 // EG10216	-
EG11043 // EG11487 // G6879	-
EG11309	+
EG10693 // EG10247	-
G7259	-
G6879	-
G0-10555	+
EG10694	-
EG10694	-
EG10694	-
EG12310	-
EG10695	-
EG10695	-
EG10695	-
EG11920	-
EG10696	+
EG11021 // EG10698 // EG11485 // EG11484	+
EG11549	+
G6129	-
EG10699	+
EG10699	+
EG10700	+
EG10700	+
EG10028	-
EG10701	-
EG10701	-
EG10701	-
EG10701	-
EG10701	-
EG11911 // EG11910	+
G6530 // G6529 // G6528 // G6531	-
EG10702	+
EG10703	-
EG10703	-
EG10703	-
EG10703 // EG10282	-
EG10703 // EG10282	-
EG10703 // EG10282	-
G6397	+
EG10705	+
EG11372 // EG11371	-
G6664	+
EG10706	-
EG11271 // EG10707	+
EG11272	-
EG10440 // EG10710 // EG10709 // EG11272	-
EG10708	+
EG30064	-
EG30065	+
EG10718 // EG10721 // EG10725 // EG10717 // EG10720 // EG10723 // EG10716 // EG10719 // EG10722 // EG10715 // EG10724 // EG11283 // EG10713 // EG10714	-
EG10721 // EG10725 // EG10723 // EG10722 // EG10724	-
EG11401 // EG10727	+
EG10733 // EG10728	+
EG10729	-
EG11734	+
EG11734	+
EG10731 // EG10732	-
EG10731 // EG10732	-
EG10731 // EG10732	-
EG10732	-
EG10735	-
EG10736	+
EG10737	+
G7383	-
G6819	+
G6697	-
EG12230	+
EG12883	-
G7350	+
EG11896	-
EG10738	+
EG10739 // EG11470	+
G6615	-
EG10740	-
EG10740	-
EG11377	-
EG11317 // EG10277 // EG11318 // EG11437	+
G7172	-
EG10742	-
G7409	-
EG10743	-
EG10744 // EG10745	-
EG10746	+
EG10747	-
EG10751 // EG10750 // EG10749 // EG10752	-
EG11631 // EG11630 // EG11629 // EG11632	+
EG11631 // EG11630 // EG11629 // EG11632	+
EG10754	-
EG10754 // G6455 // G6454	-
EG10755	-
EG10756	-
EG12081 // EG11156 // EG10825 // EG11155 // EG11154	-
EG12107 // EG11798 // EG12106	-
G7415	+
EG10757	-
EG10757	-
EG10757	-
EG10757	-
EG10758 // EG12666	-
EG12352	-
G6242	+
G6242	+
EG11403 // EG11510	+
EG11403 // EG11510	+
EG12373	+
EG12159	+
G7539	-
EG10759	-
EG11132	+
EG11761	+
G6490 // G6492 // G6491	+
G6490 // G6492 // G6491	+
EG11744	-
G7145 // EG11289	+
EG10552 // EG10762	-
EG12114	+
EG10763	-
EG10765 // EG12830	-
EG12365	+
EG12233 // EG11441	-
EG11144 // EG12449 // G7201 // G7200 // EG10075 // EG10580	-
EG10768 // EG10767	+
EG10769	-
EG30066	-
EG30067	+
EG11612	+
EG11612	+
EG12866 // EG10760	-
EG10770	-
EG10771 // EG10772 // EG10773	+
EG10771 // EG10772 // EG10773	+
EG10771 // EG10772 // EG10773	+
G6196 // G6199 // G6198 // G6200	+
G6195	-
EG10774	-
G7840 // EG10775	-
EG11209	+
EG11401	+
EG10779 // EG10776 // EG10778 // EG10777 // EG10780	+
EG10779 // EG10778 // EG10777 // EG10780	+
EG10780	+
EG12344	-
EG12344	-
EG12344	-
EG11933	+
EG10781	+
EG10783 // EG10735	-
EG10783 // EG10735	-
EG10784 // EG10783 // EG10735 // EG10782	-
EG10734	-
EG10784 // EG10782 // EG10734	-
EG10784 // EG10783 // EG10735 // EG10782 // EG10734	-
EG11646 // EG12033	-
EG12032	-
EG20173	+
EG10785 // EG11404	-
EG10786	-
EG10824 // EG10826 // EG10786	-
EG11004	-
EG11904 // EG11906 // EG11905	-
EG10787	+
EG10787	+
EG10789 // EG10165 // EG10788	+
EG10789 // EG10165 // EG10788	+
EG10789 // EG10165 // EG10788	+
EG10789 // EG10165 // EG10788	+
EG10789 // EG10165 // EG10788	+
EG10790	+
EG10791	-
EG10793 // EG10796	-
EG10792 // EG10795	-
EG10797	-
EG10799 // EG10798	+
EG10800	+
EG11809	+
EG11819	-
EG11819	-
EG11819	-
EG10801	-
EG10802	+
EG10802	+
EG10802	+
EG10802	+
EG10802	+
G6644 // G6643 // G0-16737	-
EG10036 // G6646 // EG11822	+
EG12431 // EG10036 // G6646 // EG11822 // G6645	+
G6643 // G0-16737	-
EG10803	+
EG10803	+
EG10804	+
EG10804	+
EG10804	+
EG10804	+
EG10806	-
EG10807	+
EG11128 // EG10809	+
EG10258 // EG10810	-
EG10258 // EG10810	-
EG10258 // EG10810	-
EG11539	+
EG11279 // EG10811 // EG10805	-
EG11279 // EG10811 // EG10805	-
G7244 // G7245 // G7243	+
G6265 // G6264	-
EG11492	-
G7868	-
G7575 // EG12658	+
G7575 // EG12658	+
EG10812	+
G6245	-
G7431	+
G7443	-
G7452	+
G7843	-
EG10813	-
G6680	-
EG11296 // EG11335	+
EG12045	+
EG11151	+
G0-16600	+
EG11083 // EG12609	-
EG11466	-
G7357 // G7358	-
EG11730 // EG11731	-
G6112	+
G7175	+
EG10816 // EG10819 // EG10815 // EG10818 // EG10814 // EG10817	+
G6174 // G6173 // G6171	-
G6173 // G6171	-
G6175	+
G7138 // G7139	+
G7139	+
G7137	-
EG10820	+
EG10821	+
EG10821	+
EG10822	-
EG12385 // EG10821	+
EG11502 // EG11503	-
G7823 // EG11210	+
G7823 // EG11210	+
G7530 // G7531	+
EG12158	-
G0-9603	+
G0-9606	+
G0-9608	+
G0-9042	+
EG10823	-
EG10823 // EG12080	-
EG10825	-
EG11901 // G6677 // EG11900 // G6676 // EG11899 // EG10827	-
EG10828	-
EG10828	-
EG10829	+
EG10831	+
EG10833	+
EG10835	-
EG10835	-
EG10835 // EG11249 // EG10571	-
EG10835 // EG11249 // EG10571	-
EG10836 // EG11131	-
EG10836 // EG11131 // EG11130	-
EG11129	-
EG10837	+
EG11424 // EG12210 // EG10838 // EG11189	+
EG11424 // EG12210 // EG10838 // EG11189	+
EG11424 // EG12210 // EG10838 // EG11189	+
EG11424 // EG12210 // EG10838 // EG11189	+
EG10839	-
EG11352 // EG11351 // EG11353 // EG11339 // EG11350 // EG11425 // EG11341 // EG11423 // EG11340 // EG11426	-
EG11425 // EG11426	-
EG11423 // EG11426	-
EG11978 // EG11980 // EG11979	-
EG12412 // EG11978 // EG12411 // EG11980 // EG11979	-
EG11486 // EG11455 // EG11453 // EG11454 // EG11295 // EG11457 // EG11452 // EG11456 // EG10840 // EG11451 // EG11458 // G7800	+
EG11867 // EG11866 // EG11868	-
EG11866	-
EG11865	-
EG10843 // EG10842	+
EG11313	-
EG10844	-
EG11235	+
EG12428	+
EG12428 // EG10845	+
EG10846 // EG11187	+
EG10847	+
EG10848 // EG11522	+
G6271 // EG11769 // EG11770 // EG10849	+
EG10010 // EG11760	+
EG12134	-
EG11469	-
EG11468	+
EG11331	-
EG11331	-
EG11406	-
EG10666 // G6234 // EG11322 // EG10704	+
EG10492 // EG11080 // EG10548 // EG11081 // EG11079	+
G7877	-
G6358	-
EG12030	-
EG11082	+
EG10851	+
EG10852 // G6447	+
EG10853	+
G6435	-
EG10665 // EG10505 // EG11179	-
G0-16662 // EG11352 // EG11351 // EG11353 // EG11339 // EG11350 // EG11425 // EG11341 // EG11423 // EG11340 // EG11426	-
G6746	+
EG12207	-
EG11247	-
EG11507 // EG11506	-
EG11507 // EG11506	-
G7603	-
G6501	-
EG12234	+
G6488 // G6489	+
EG11794	-
EG12401	-
EG12433	+
EG11118	+
EG12097 // EG12098	-
G6581 // G6580	-
EG11921	+
EG50004	+
EG50004	+
EG11472	+
EG10856	-
EG11620	-
EG11620	-
EG10857 // EG10270	-
EG10832 // EG10857 // EG10270 // EG10693 // EG10247	-
EG10858	-
EG10859	-
EG10859	-
EG10859	-
EG10859	-
EG10860	-
G6337	-
G7365	+
G7366 // G7365	+
G7366	+
G7366	+
EG30069	-
EG11548 // EG11547	+
EG11366	-
EG11430	-
EG11871 // EG11030 // M004	-
EG10863	-
EG10863 // EG10808	-
EG11443	-
EG11827	+
EG10894 // EG10895 // EG10871 // EG10873	+
EG10894 // EG10895 // EG10864 // EG10872 // EG10871 // EG10873	+
EG10873	+
EG10874 // EG10908	-
EG10907 // EG10888 // EG10875 // EG10904 // EG10868 // EG10884 // EG10913 // EG10876 // EG11232 // EG10879 // EG10869 // EG10766	-
EG10881	-
EG10881 // EG11272	-
EG50002 // EG50001	-
EG50002 // EG50001 // EG11499 // G7656	-
EG10885	+
EG10891 // EG10886	-
EG10329 // EG10891 // EG10886	-
EG10889	+
EG10890 // EG11317 // EG10277 // EG11318 // EG11437	+
EG10892 // EG10862	+
EG10892 // EG10862	+
EG10892 // EG10862	+
EG10881 // EG11231	-
EG11750	+
G7197	-
G7934	+
G0-10561 // EG12323	+
EG10894 // EG10895	+
EG10896	+
EG10896	+
EG10896	+
EG10896	+
G0-16690 // G7347 // EG12341 // EG11897 // G7348	-
G7347 // EG12341 // EG11897 // G7348	-
G7347 // EG12341 // EG11897 // G7348	-
G0-16690 // G7347 // EG12341 // EG11897 // G7348	-
G0-16690 // G7347 // EG12341 // EG11897 // G7348	-
G0-16690 // G7347 // EG12341 // EG11897 // G7348	-
EG10897	-
EG10897	-
EG10897	-
EG10897	-
EG10897	-
EG10898 // EG12146 // EG11681 // EG12147 // EG11682	+
EG10510	-
EG10510	-
EG10510	-
EG10510	-
EG10510	-
EG10829 // EG10899 // EG10967 // EG10966	+
EG12188 // G7459	-
G0-8863	+
EG10441 // EG10900	+
EG10441 // EG10900	+
G0-8895 // EG10901 // EG11033	+
EG10764 // EG10917 // EG10870 // EG10905	+
EG10908	-
EG10909 // EG10867 // EG10865 // EG10887 // EG10877 // EG10916 // EG10883 // EG10902 // EG10918 // EG10866 // EG10882	-
EG10911 // EG10360 // EG10906 // EG11036	-
EG10893 // EG10878 // EG10910 // EG10903 // EG10912	-
EG10893 // EG10878 // EG10910 // EG10903 // EG10912	-
EG10914	-
EG10914 // EG10743	-
EG11023 // EG10880 // EG10915 // EG11153	-
EG10919	-
EG10919	-
EG10920	+
EG10239 // EG10896 // EG10920	+
EG10239 // EG10896 // EG10920	+
EG10239 // EG10896 // EG10920	+
EG11879	-
G7885	+
EG30075	-
EG30077 // EG30070	+
EG30078 // EG30071	+
EG30081 // EG30074	+
EG30083 // EG30076	+
EG30043 // EG30008 // EG30084 // EG30077 // EG30070	+
EG30043 // EG30008 // EG30084 // EG30077 // EG30070	+
EG30032 // EG30078 // EG30071 // EG30085	+
EG30032 // EG30078 // EG30071 // EG30085	+
EG30033 // EG30086 // EG30079 // EG30072	+
EG30033 // EG30086 // EG30079 // EG30072	+
EG30009 // EG30044 // EG30103 // EG30091 // EG30087 // EG30080 // EG30073	-
EG30009 // EG30044 // EG30103 // EG30091 // EG30087 // EG30080 // EG30073	-
EG30034 // EG30081 // EG30074 // EG30088	+
EG30034 // EG30081 // EG30074 // EG30088	+
EG30035 // EG30075 // EG30089 // EG30082	-
EG30035 // EG30075 // EG30089 // EG30082	-
EG30045 // EG30010 // EG30090 // EG30083 // EG30076	+
EG30045 // EG30010 // EG30090 // EG30083 // EG30076	+
EG11738	-
EG11738	-
G7347 // EG12341 // G7348	-
EG12436	+
G0-10574	+
EG10854 // EG11254 // EG11255 // EG10607 // EG10606	-
G7841	-
EG10048 // EG10523 // EG10047	-
EG12163	+
G7950	-
EG12212 // EG10343	+
EG12366 // EG10419	+
G7008	+
EG10376	-
G6839 // G6838	-
EG12121 // EG12120	+
EG12121	+
G6864 // EG11233	+
EG12044	-
EG10662 // G6873 // G6876 // G6872 // G6875 // G6871 // G6874	+
G7751 // G7750	-
EG12356	+
G0-9609	-
G6520 // G6523 // G6519 // G6522 // G6518 // G6521 // G6517	-
EG12301	+
EG12301	+
RUVA // RUVB	-
RUVA // RUVB	-
EG10925	-
G0-10715 // G0-8881	-
G0-8880	-
G0-8876	-
G0-10592	-
G0-8865	+
G0-8879	+
G0-10600	-
G0-8872	-
G0-8875	-
G0-10609	+
G0-10436	+
G0-10449	+
G6811	-
G6789 // G6790	-
EG12025 // G7144	+
EG12304 // G2002 // EG12305 // G2001 // G2000	-
EG11512	-
EG10926	+
EG11094 // EG10927	-
G6227 // EG10928	+
EG11892	-
EG11892	-
EG10929	+
G7517 // EG11444 // G7516 // EG11445	+
EG10930	+
EG11623 // EG12142	+
G0-17009 // EG10932 // EG10979 // EG10982 // EG10931 // EG10934 // EG10981 // EG10933 // EG10980	+
EG10932 // EG10931 // EG10934	+
G7509 // G7510	-
EG10935	-
EG10935	-
EG10935	-
EG10935	-
EG10935	-
EG10935	-
EG10935	-
G0-10699	+
G0-10699	+
G0-8883	-
G0-8883 // G7011	-
G0-8883 // G7011	-
EG20091 // EG10937	-
EG10667 // EG10939	+
EG12095	-
EG30050 // EG12095	-
EG30050 // EG12095	-
EG11087 // EG10936 // EG10626	+
EG10942 // EG10941	-
EG30092	+
EG11014 // EG10943	-
EG11014 // EG10943	-
EG12197 // EG12144	+
EG10944	-
EG10944	-
EG10945	+
EG11296 // EG10945	+
EG10946	+
EG10946	+
EG10946 // EG10073	+
EG10947	+
EG30093	-
EG30094	-
EG30015 // EG30018 // EG30095 // EG30013 // EG30019	-
EG30096	-
EG30096	-
EG30097	-
EG12034	+
EG11687	+
G6290	+
G6291 // G6292	+
EG12388 // G6293	+
EG10949 // EG10230	-
EG10656	+
G7915 // G7913 // G0-10241 // EG12556 // EG12554 // EG12557 // G7914	-
G0-9381 // EG12094 // EG11572 // EG11574 // EG11573	-
EG11754 // G0-10617 // G0-9941	+
G7067	+
G0-10634	-
G0-8884	+
G0-8885	+
G0-8886	+
G0-8913	-
G0-10602	-
EG12154	+
G7211	-
EG11889 // EG11890	+
EG10950	+
G6882	-
G6881	+
G6881	+
EG11663	-
EG11664	+
EG11604	-
EG11605	-
EG11782	+
EG12165 // EG11252 // EG12167 // EG10618	+
EG10953	+
EG10954	+
G6886	-
G7629 // EG10955	+
EG10956	+
EG10956	+
G0-9611	+
G0-9581	+
G0-10695	+
G6555 // G6556	-
EG10957	+
EG10958	-
EG10960 // EG10959	-
EG10960	-
EG10961	-
EG10962	-
EG10963	-
G0-17074 // EG10964 // EG10753	-
EG30098	+
EG10968	+
G6939	-
EG11508	-
G0-8861	-
G0-8862	+
G0-8870	+
EG11831 // EG11297	+
EG10972 // EG10971 // G8210 // EG10970 // EG10974 // EG10969 // EG10973	+
EG10974	+
EG10975	+
G0-9381	-
G0-9387 // EG10465	-
G0-9388	-
EG10976	+
EG10976	+
EG10976	+
EG11600	+
EG11601	-
G7498	+
EG10977 // EG10978	-
EG30100	+
EG30099	+
EG30099	+
EG30099 // EG11158	+
EG30099 // EG11158	+
EG12732	+
G6478 // G6476 // EG12358 // G6479 // G6477	-
EG11120 // G6599	-
G6695 // G6696	+
EG11428	-
EG11554	-
EG11554	-
EG11554	-
EG10979 // EG10980	+
EG10979 // EG10982 // EG10981 // EG10980	+
G6906 // EG11378 // G6905 // G6909 // G6908 // G6907	-
EG11616	+
EG10983	+
EG10984	-
EG10048 // EG10523 // EG10985 // EG10047 // EG10691	-
G6745	+
G7451	-
G7940	-
G0-10610	+
G7883	+
EG10986 // EG12270	+
EG11797	+
EG12100 // EG11797	+
EG12100 // EG11797	+
EG11556	+
G6806	+
G7876 // G7875 // G7874	+
G7349 // G7350	+
EG10148 // EG10147 // EG10151 // EG10987 // EG10988 // EG10150	-
G7462	+
G7806 // EG11479 // G7808	+
EG11481 // G7806 // EG11479 // G7808	+
EG11481	+
EG11305	+
G6217 // G6219 // G6218 // EG12423	+
G7456	-
G7039	-
G6934	+
EG10990 // G7627 // EG10989 // G7624 // G7626 // EG10991 // EG11172	-
EG10990 // G7627 // G7624 // G7626 // EG10991 // EG11172	-
EG10992	+
EG10994	+
EG11883 // EG11884	+
EG11542 // G6269	-
EG10995	-
G6315	+
G7222	+
G6317	+
EG10996 // EG11096	+
EG11590 // EG11585 // EG11589 // EG11587 // G1 // EG11586	-
G6238	+
M007 // G7135	-
EG11277	+
EG11277 // EG10998 // EG11000 // EG10999	+
EG11001 // EG10506	-
EG10440 // EG10881 // EG10710 // EG10709 // EG11272 // EG11001 // EG10506 // EG11231	-
EG30102 // EG30036 // EG30101 // EG30107 // EG11037	+
EG30104	+
EG11002	-
EG11003	+
EG11003	+
EG11003	+
G6096	+
G0-9962	+
EG11427	-
EG12100	+
G7689	-
EG10741	+
EG11276	+
EG11276 // EG11005 // EG11006	+
EG12854 // EG10684 // EG11008	+
EG12854 // EG10684 // EG11008	+
